trading_date,RU_total_oi
2015-03-13,316376.0
2015-03-16,320482.0
2015-03-17,329236.0
2015-03-18,325162.0
2015-03-19,326934.0
2015-03-20,320664.0
2015-03-23,309500.0
2015-03-24,311882.0
2015-03-25,313062.0
2015-03-26,319644.0
2015-03-27,303784.0
2015-03-30,307468.0
2015-03-31,305648.0
2015-04-01,289730.0
2015-04-02,284772.0
2015-04-03,278348.0
2015-04-07,282268.0
2015-04-08,298362.0
2015-04-09,316216.0
2015-04-10,304088.0
2015-04-13,281992.0
2015-04-14,279800.0
2015-04-15,278106.0
2015-04-16,279276.0
2015-04-17,270956.0
2015-04-20,269560.0
2015-04-21,296274.0
2015-04-22,302842.0
2015-04-23,308148.0
2015-04-24,310214.0
2015-04-27,341828.0
2015-04-28,337440.0
2015-04-29,334976.0
2015-04-30,350006.0
2015-05-04,353898.0
2015-05-05,351640.0
2015-05-06,354670.0
2015-05-07,346266.0
2015-05-08,339194.0
2015-05-11,343692.0
2015-05-12,340236.0
2015-05-13,329826.0
2015-05-14,323840.0
2015-05-15,324278.0
2015-05-18,324488.0
2015-05-19,316878.0
2015-05-20,289162.0
2015-05-21,286516.0
2015-05-22,288404.0
2015-05-25,300600.0
2015-05-26,307468.0
2015-05-27,314730.0
2015-05-28,302900.0
2015-05-29,323612.0
2015-06-01,314826.0
2015-06-02,325034.0
2015-06-03,330366.0
2015-06-04,319770.0
2015-06-05,315158.0
2015-06-08,319034.0
2015-06-09,319642.0
2015-06-10,328602.0
2015-06-11,336492.0
2015-06-12,325164.0
2015-06-15,320362.0
2015-06-16,319850.0
2015-06-17,320638.0
2015-06-18,330040.0
2015-06-19,317454.0
2015-06-23,316376.0
2015-06-24,321604.0
2015-06-25,334660.0
2015-06-26,302286.0
2015-06-29,287514.0
2015-06-30,262050.0
2015-07-01,256372.0
2015-07-02,254168.0
2015-07-03,252510.0
2015-07-06,248782.0
2015-07-07,247592.0
2015-07-08,231626.0
2015-07-09,199438.0
2015-07-10,212834.0
2015-07-13,217160.0
2015-07-14,228002.0
2015-07-15,222466.0
2015-07-16,236250.0
2015-07-17,233808.0
2015-07-20,247200.0
2015-07-21,253846.0
2015-07-22,244012.0
2015-07-23,246366.0
2015-07-24,268980.0
2015-07-27,253216.0
2015-07-28,238680.0
2015-07-29,240516.0
2015-07-30,236562.0
2015-07-31,233026.0
2015-08-03,233582.0
2015-08-04,228588.0
2015-08-05,239698.0
2015-08-06,240418.0
2015-08-07,237466.0
2015-08-10,240390.0
2015-08-11,249910.0
2015-08-12,251744.0
2015-08-13,252930.0
2015-08-14,252070.0
2015-08-17,257852.0
2015-08-18,253058.0
2015-08-19,258412.0
2015-08-20,262894.0
2015-08-21,251430.0
2015-08-24,239966.0
2015-08-25,221484.0
2015-08-26,234394.0
2015-08-27,219610.0
2015-08-28,229840.0
2015-08-31,233808.0
2015-09-01,229772.0
2015-09-02,225598.0
2015-09-07,235088.0
2015-09-08,251440.0
2015-09-09,270906.0
2015-09-10,278162.0
2015-09-11,287608.0
2015-09-14,278056.0
2015-09-15,274974.0
2015-09-16,268074.0
2015-09-17,265322.0
2015-09-18,273642.0
2015-09-21,264974.0
2015-09-22,268130.0
2015-09-23,267274.0
2015-09-24,268814.0
2015-09-25,268926.0
2015-09-28,268520.0
2015-09-29,254518.0
2015-09-30,240398.0
2015-10-08,253106.0
2015-10-09,284770.0
2015-10-12,304836.0
2015-10-13,308470.0
2015-10-14,306672.0
2015-10-15,331728.0
2015-10-16,318396.0
2015-10-19,331132.0
