trading_date,FU_total_oi
2020-01-14,448940.0
2020-01-15,448579.0
2020-01-16,442936.0
2020-01-17,427589.0
2020-01-20,410608.0
2020-01-21,386405.0
2020-01-22,367251.0
2020-01-23,304821.0
2020-02-03,308036.0
2020-02-04,305378.0
2020-02-05,325829.0
2020-02-06,343908.0
2020-02-07,349860.0
2020-02-10,377208.0
2020-02-11,381185.0
2020-02-12,385022.0
2020-02-13,391328.0
2020-02-14,386635.0
2020-02-17,397121.0
2020-02-18,388137.0
2020-02-19,412051.0
2020-02-20,411017.0
2020-02-21,404381.0
2020-02-24,406847.0
2020-02-25,405737.0
2020-02-26,433544.0
2020-02-27,480169.0
2020-02-28,482005.0
2020-03-02,460226.0
2020-03-03,464466.0
2020-03-04,486135.0
2020-03-05,489091.0
2020-03-06,508468.0
2020-03-09,499256.0
2020-03-10,650103.0
2020-03-11,768691.0
2020-03-12,862826.0
2020-03-13,859347.0
2020-03-16,870116.0
2020-03-17,864947.0
2020-03-18,902695.0
2020-03-19,869285.0
2020-03-20,846149.0
2020-03-23,866314.0
2020-03-24,843072.0
2020-03-25,894279.0
2020-03-26,897644.0
2020-03-27,887811.0
2020-03-30,931030.0
2020-03-31,956998.0
2020-04-01,967836.0
2020-04-02,956250.0
2020-04-03,938746.0
2020-04-07,935941.0
2020-04-08,939943.0
2020-04-09,946317.0
2020-04-10,943611.0
2020-04-13,961971.0
2020-04-14,967533.0
2020-04-15,980328.0
2020-04-16,1076320.0
2020-04-17,1031638.0
2020-04-20,1054404.0
2020-04-21,1068893.0
2020-04-22,1091030.0
2020-04-23,1052901.0
2020-04-24,1070517.0
2020-04-27,1198886.0
2020-04-28,1144731.0
2020-04-29,1086831.0
2020-04-30,1025335.0
2020-05-06,988858.0
2020-05-07,997385.0
2020-05-08,997448.0
2020-05-11,1013786.0
2020-05-12,1038231.0
2020-05-13,1113919.0
2020-05-14,1096068.0
2020-05-15,1042727.0
2020-05-18,1000490.0
2020-05-19,974089.0
2020-05-20,942771.0
2020-05-21,952314.0
2020-05-22,953649.0
2020-05-25,955278.0
2020-05-26,953980.0
2020-05-27,993655.0
2020-05-28,984555.0
2020-05-29,1013868.0
2020-06-01,947217.0
2020-06-02,916979.0
2020-06-03,942130.0
2020-06-04,920087.0
2020-06-05,905359.0
2020-06-08,875673.0
2020-06-09,861253.0
2020-06-10,833134.0
2020-06-11,819964.0
2020-06-12,834569.0
2020-06-15,821349.0
2020-06-16,806133.0
2020-06-17,822008.0
2020-06-18,838527.0
2020-06-19,819991.0
2020-06-22,820540.0
2020-06-23,796283.0
2020-06-24,796089.0
2020-06-29,898478.0
2020-06-30,808213.0
2020-07-01,802432.0
2020-07-02,799223.0
2020-07-03,781241.0
2020-07-06,798725.0
2020-07-07,808490.0
2020-07-08,776881.0
2020-07-09,781827.0
2020-07-10,821701.0
2020-07-13,725188.0
2020-07-14,740397.0
2020-07-15,719317.0
2020-07-16,714077.0
2020-07-17,726963.0
2020-07-20,750486.0
2020-07-21,707458.0
2020-07-22,713734.0
2020-07-23,726923.0
2020-07-24,752580.0
2020-07-27,760747.0
2020-07-28,758819.0
2020-07-29,723828.0
2020-07-30,789772.0
2020-07-31,779711.0
2020-08-03,808309.0
2020-08-04,778581.0
2020-08-05,732830.0
2020-08-06,728730.0
2020-08-07,730753.0
2020-08-10,700242.0
2020-08-11,660110.0
2020-08-12,643854.0
2020-08-13,607762.0
2020-08-14,565184.0
2020-08-17,568069.0
2020-08-18,518171.0
2020-08-19,522698.0
2020-08-20,511422.0
2020-08-21,522758.0
2020-08-24,508848.0
2020-08-25,564157.0
2020-08-26,575142.0
2020-08-27,570601.0
2020-08-28,546491.0
2020-08-31,578855.0
2020-09-01,577250.0
2020-09-02,588091.0
2020-09-03,630668.0
2020-09-04,588051.0
2020-09-07,661634.0
2020-09-08,680801.0
2020-09-09,690067.0
2020-09-10,676552.0
2020-09-11,676146.0
2020-09-14,657909.0
2020-09-15,700819.0
2020-09-16,669080.0
2020-09-17,708253.0
2020-09-18,631780.0
2020-09-21,636096.0
2020-09-22,652507.0
2020-09-23,659737.0
2020-09-24,641008.0
2020-09-25,588538.0
2020-09-28,576440.0
2020-09-29,520861.0
2020-09-30,507567.0
2020-10-09,481393.0
2020-10-12,504954.0
2020-10-13,523066.0
2020-10-14,525329.0
2020-10-15,557080.0
2020-10-16,549144.0
2020-10-19,550521.0
2020-10-20,577060.0
2020-10-21,611492.0
2020-10-22,645803.0
2020-10-23,616146.0
2020-10-26,652946.0
2020-10-27,663604.0
2020-10-28,723885.0
2020-10-29,745013.0
2020-10-30,771446.0
2020-11-02,780491.0
2020-11-03,761894.0
2020-11-04,747439.0
2020-11-05,746124.0
2020-11-06,782047.0
2020-11-09,731791.0
2020-11-10,698360.0
2020-11-11,688828.0
2020-11-12,655427.0
2020-11-13,667279.0
2020-11-16,655292.0
2020-11-17,649060.0
2020-11-18,647326.0
2020-11-19,634981.0
2020-11-20,634721.0
2020-11-23,630301.0
2020-11-24,654333.0
2020-11-25,631393.0
2020-11-26,617130.0
2020-11-27,603929.0
2020-11-30,582299.0
2020-12-01,575962.0
2020-12-02,588161.0
2020-12-03,591071.0
2020-12-04,610431.0
2020-12-07,615402.0
2020-12-08,607666.0
2020-12-09,590180.0
