trading_date,M_total_oi
2016-02-25,3083254.0
2016-02-26,3078080.0
2016-02-29,3113764.0
2016-03-01,3157130.0
2016-03-02,3250582.0
2016-03-03,3221172.0
2016-03-04,3327652.0
2016-03-07,3328998.0
2016-03-08,3355740.0
2016-03-09,3322408.0
2016-03-10,3374538.0
2016-03-11,3382320.0
2016-03-14,3303954.0
2016-03-15,3248556.0
2016-03-16,3292406.0
2016-03-17,3245840.0
2016-03-18,3206664.0
2016-03-21,3225378.0
2016-03-22,3135898.0
2016-03-23,3076336.0
2016-03-24,2987440.0
2016-03-25,3094924.0
2016-03-28,3130852.0
2016-03-29,3182244.0
2016-03-30,3148316.0
2016-03-31,3122606.0
2016-04-01,3195012.0
2016-04-05,3288624.0
2016-04-06,3322072.0
2016-04-07,3344916.0
2016-04-08,3415196.0
2016-04-11,3333710.0
2016-04-12,3417160.0
2016-04-13,3487298.0
2016-04-14,3470906.0
2016-04-15,3737438.0
2016-04-18,3802050.0
2016-04-19,3809550.0
2016-04-20,3377728.0
2016-04-21,3186514.0
2016-04-22,2726292.0
2016-04-25,2689556.0
2016-04-26,2669902.0
2016-04-27,2669772.0
2016-04-28,2633112.0
2016-04-29,2702632.0
2016-05-03,2903232.0
2016-05-04,2854004.0
2016-05-05,2872938.0
2016-05-06,2689166.0
2016-05-09,2683108.0
2016-05-10,2632430.0
2016-05-11,2684474.0
2016-05-12,2899660.0
2016-05-13,2861608.0
2016-05-16,2933558.0
2016-05-17,2897364.0
2016-05-18,3013112.0
2016-05-19,3056856.0
2016-05-20,3086200.0
2016-05-23,3205216.0
2016-05-24,3516028.0
2016-05-25,3624740.0
2016-05-26,3541314.0
2016-05-27,3648188.0
2016-05-30,3817330.0
2016-05-31,3834538.0
2016-06-01,3880004.0
2016-06-02,3922220.0
2016-06-03,4004762.0
2016-06-06,4022524.0
2016-06-07,4105704.0
2016-06-08,3962484.0
2016-06-13,3921180.0
2016-06-14,3665938.0
2016-06-15,3786050.0
2016-06-16,3817998.0
2016-06-17,3770652.0
2016-06-20,3879654.0
2016-06-21,3868620.0
2016-06-22,3760766.0
2016-06-23,3636514.0
2016-06-24,3470862.0
2016-06-27,3617552.0
2016-06-28,3595698.0
2016-06-29,3637986.0
2016-06-30,3609488.0
2016-07-01,3694160.0
2016-07-04,3620526.0
2016-07-05,3511746.0
2016-07-06,3338160.0
2016-07-07,3284038.0
2016-07-08,2799076.0
2016-07-11,2954262.0
2016-07-12,2852442.0
2016-07-13,2919788.0
2016-07-14,3041862.0
2016-07-15,2945404.0
2016-07-18,2887438.0
2016-07-19,2911968.0
2016-07-20,2892166.0
2016-07-21,2805784.0
2016-07-22,2882904.0
2016-07-25,2923330.0
2016-07-26,2883734.0
2016-07-27,2814270.0
2016-07-28,2822112.0
2016-07-29,2814102.0
2016-08-01,2798342.0
2016-08-02,2768452.0
2016-08-03,2745144.0
2016-08-04,2771986.0
2016-08-05,2775432.0
2016-08-08,2713970.0
2016-08-09,2711024.0
2016-08-10,2751734.0
2016-08-11,2698702.0
2016-08-12,2733018.0
2016-08-15,2790406.0
2016-08-16,2805922.0
2016-08-17,2784432.0
2016-08-18,2732548.0
2016-08-19,2686950.0
2016-08-22,2657022.0
2016-08-23,2660122.0
2016-08-24,2659298.0
2016-08-25,2651110.0
2016-08-26,2655116.0
2016-08-29,2630840.0
2016-08-30,2630906.0
2016-08-31,2658350.0
2016-09-01,2663746.0
2016-09-02,2623358.0
2016-09-05,2692622.0
2016-09-06,2667722.0
2016-09-07,2694748.0
2016-09-08,2676146.0
2016-09-09,2651220.0
2016-09-12,2583572.0
2016-09-13,2492954.0
2016-09-14,2396834.0
2016-09-19,2451396.0
2016-09-20,2492176.0
2016-09-21,2559528.0
2016-09-22,2582858.0
2016-09-23,2634976.0
2016-09-26,2655114.0
2016-09-27,2660194.0
2016-09-28,2570160.0
2016-09-29,2268708.0
2016-09-30,2196330.0
2016-10-10,2191172.0
2016-10-11,2319476.0
2016-10-12,2431278.0
2016-10-13,2441298.0
2016-10-14,2339374.0
2016-10-17,2488648.0
2016-10-18,2530610.0
2016-10-19,2582700.0
2016-10-20,2671290.0
2016-10-21,2681566.0
2016-10-24,2692676.0
2016-10-25,2641698.0
2016-10-26,2780148.0
2016-10-27,2907330.0
2016-10-28,2950858.0
2016-10-31,2863576.0
2016-11-01,2902554.0
2016-11-02,2831932.0
2016-11-03,2818844.0
2016-11-04,2794444.0
2016-11-07,2708970.0
2016-11-08,2680662.0
2016-11-09,2668620.0
2016-11-10,3043734.0
2016-11-11,3360842.0
2016-11-14,2932298.0
2016-11-15,2922708.0
2016-11-16,2966856.0
2016-11-17,3030446.0
2016-11-18,2997220.0
2016-11-21,3032226.0
2016-11-22,3089478.0
2016-11-23,3245062.0
2016-11-24,3141600.0
2016-11-25,3190230.0
2016-11-28,3690112.0
2016-11-29,3788010.0
2016-11-30,3622042.0
2016-12-01,3679764.0
2016-12-02,3650658.0
2016-12-05,3684234.0
2016-12-06,3658276.0
2016-12-07,3658496.0
2016-12-08,3604150.0
2016-12-09,3462588.0
2016-12-12,3306078.0
2016-12-13,3294550.0
2016-12-14,3193738.0
2016-12-15,3159084.0
2016-12-16,3098060.0
2016-12-19,3078584.0
2016-12-20,2972242.0
2016-12-21,2990212.0
2016-12-22,2954352.0
2016-12-23,2932110.0
2016-12-26,2903004.0
2016-12-27,2816800.0
2016-12-28,2816704.0
2016-12-29,2793406.0
2016-12-30,2798066.0
2017-01-03,2853006.0
2017-01-04,2784498.0
2017-01-05,2810580.0
2017-01-06,2820790.0
2017-01-09,2881800.0
2017-01-10,2901818.0
2017-01-11,2947022.0
2017-01-12,2985430.0
2017-01-13,2988896.0
2017-01-16,2922338.0
2017-01-17,2878784.0
2017-01-18,2934476.0
2017-01-19,2913686.0
2017-01-20,2797032.0
2017-01-23,2755416.0
2017-01-24,2747598.0
2017-01-25,2668546.0
2017-01-26,2612758.0
2017-02-03,2662764.0
2017-02-06,2991602.0
2017-02-07,3100684.0
2017-02-08,3299848.0
2017-02-09,3282238.0
2017-02-10,3340644.0
2017-02-13,3385034.0
2017-02-14,3350426.0
2017-02-15,3344060.0
2017-02-16,3293684.0
2017-02-17,3185736.0
2017-02-20,3206118.0
2017-02-21,3242990.0
2017-02-22,3231426.0
2017-02-23,3167580.0
2017-02-24,3123126.0
2017-02-27,3168146.0
2017-02-28,3178296.0
2017-03-01,3170444.0
2017-03-02,3208894.0
2017-03-03,3237714.0
2017-03-06,3370520.0
2017-03-07,3343792.0
2017-03-08,3249686.0
2017-03-09,3246996.0
2017-03-10,3191856.0
2017-03-13,3125626.0
2017-03-14,3180146.0
2017-03-15,3111222.0
2017-03-16,3196900.0
2017-03-17,3241360.0
2017-03-20,3329910.0
2017-03-21,3406076.0
2017-03-22,3489816.0
2017-03-23,3534162.0
2017-03-24,3517366.0
2017-03-27,3418448.0
2017-03-28,3433416.0
2017-03-29,3393492.0
2017-03-30,3379146.0
2017-03-31,3293420.0
2017-04-05,3385390.0
2017-04-06,3399728.0
2017-04-07,3268958.0
2017-04-10,3178722.0
2017-04-11,3217192.0
2017-04-12,3133954.0
2017-04-13,3086216.0
2017-04-14,2935594.0
2017-04-17,3040832.0
2017-04-18,3032716.0
2017-04-19,3065398.0
2017-04-20,3015344.0
2017-04-21,3007526.0
2017-04-24,3054562.0
2017-04-25,3027924.0
2017-04-26,2972784.0
2017-04-27,2932542.0
2017-04-28,2882136.0
2017-05-02,2908522.0
2017-05-03,2860310.0
2017-05-04,2856506.0
2017-05-05,2836430.0
2017-05-08,2755064.0
2017-05-09,2757558.0
2017-05-10,2730266.0
2017-05-11,2796532.0
2017-05-12,2911840.0
2017-05-15,2943792.0
2017-05-16,3036070.0
2017-05-17,2884950.0
2017-05-18,2957340.0
2017-05-19,3117268.0
2017-05-22,3159910.0
2017-05-23,3164318.0
2017-05-24,3256434.0
2017-05-25,3240242.0
2017-05-26,3354230.0
2017-05-31,3414790.0
2017-06-01,3388574.0
2017-06-02,3359992.0
2017-06-05,3307490.0
2017-06-06,3306592.0
2017-06-07,3311140.0
2017-06-08,3352116.0
2017-06-09,3312322.0
2017-06-12,3332994.0
2017-06-13,3328612.0
2017-06-14,3297680.0
2017-06-15,3387892.0
2017-06-16,3301260.0
2017-06-19,3262988.0
2017-06-20,3214384.0
2017-06-21,3225110.0
2017-06-22,3261122.0
2017-06-23,3269318.0
2017-06-26,3227500.0
2017-06-27,3195236.0
2017-06-28,3283926.0
2017-06-29,3216916.0
2017-06-30,3277270.0
2017-07-03,3086780.0
2017-07-04,3149072.0
2017-07-05,3128040.0
2017-07-06,3188124.0
2017-07-07,3182056.0
2017-07-10,3286720.0
2017-07-11,3017978.0
2017-07-12,2957558.0
2017-07-13,2868894.0
2017-07-14,2764756.0
2017-07-17,2771312.0
2017-07-18,2830624.0
2017-07-19,2860392.0
2017-07-20,2860992.0
2017-07-21,2882852.0
2017-07-24,2826048.0
2017-07-25,2794270.0
2017-07-26,2804258.0
2017-07-27,2726968.0
2017-07-28,2757488.0
2017-07-31,2653274.0
2017-08-01,2693148.0
2017-08-02,2658090.0
2017-08-03,2610998.0
2017-08-04,2593264.0
2017-08-07,2521230.0
2017-08-08,2381732.0
2017-08-09,2327188.0
2017-08-10,2380990.0
2017-08-11,2152386.0
2017-08-14,2122014.0
2017-08-15,2104984.0
2017-08-16,2132198.0
2017-08-17,2127752.0
2017-08-18,2140536.0
2017-08-21,2198802.0
2017-08-22,2208580.0
2017-08-23,2233254.0
2017-08-24,2357856.0
2017-08-25,2308974.0
2017-08-28,2350868.0
2017-08-29,2403092.0
2017-08-30,2500872.0
2017-08-31,2534866.0
2017-09-01,2528536.0
2017-09-04,2531178.0
2017-09-05,2511466.0
2017-09-06,2501666.0
2017-09-07,2454762.0
2017-09-08,2517204.0
2017-09-11,2458904.0
2017-09-12,2527526.0
2017-09-13,2688054.0
2017-09-14,2560894.0
2017-09-15,2565114.0
2017-09-18,2518408.0
2017-09-19,2624134.0
2017-09-20,2596976.0
2017-09-21,2648616.0
2017-09-22,2896792.0
2017-09-25,2830356.0
2017-09-26,2701194.0
2017-09-27,2681642.0
2017-09-28,2521018.0
2017-09-29,2350538.0
2017-10-09,2328530.0
2017-10-10,2359746.0
2017-10-11,2392976.0
2017-10-12,2335478.0
2017-10-13,2406150.0
2017-10-16,2362638.0
2017-10-17,2422442.0
2017-10-18,2404172.0
2017-10-19,2443168.0
2017-10-20,2442244.0
2017-10-23,2506536.0
2017-10-24,2432702.0
2017-10-25,2499102.0
2017-10-26,2455178.0
2017-10-27,2468624.0
2017-10-30,2400516.0
2017-10-31,2505678.0
2017-11-01,2528138.0
2017-11-02,2598412.0
2017-11-03,2624892.0
2017-11-06,2696646.0
2017-11-07,2669212.0
2017-11-08,2729314.0
2017-11-09,2735928.0
2017-11-10,2778290.0
2017-11-13,2730432.0
2017-11-14,2736408.0
2017-11-15,2796578.0
2017-11-16,2768422.0
2017-11-17,2834568.0
2017-11-20,2885082.0
2017-11-21,2908998.0
2017-11-22,2904400.0
2017-11-23,2850774.0
2017-11-24,2854518.0
2017-11-27,2867722.0
2017-11-28,2823624.0
2017-11-29,2751304.0
2017-11-30,2671614.0
2017-12-01,2601788.0
2017-12-04,2710230.0
2017-12-05,2624468.0
2017-12-06,2770022.0
2017-12-07,2659794.0
2017-12-08,2630232.0
2017-12-11,2526068.0
2017-12-12,2449918.0
2017-12-13,2446074.0
2017-12-14,2362704.0
2017-12-15,2359640.0
2017-12-18,2314140.0
2017-12-19,2351144.0
2017-12-20,2314284.0
2017-12-21,2303582.0
2017-12-22,2277862.0
2017-12-25,2263716.0
2017-12-26,2268770.0
2017-12-27,2239286.0
2017-12-28,2272220.0
2017-12-29,2276044.0
2018-01-02,2255342.0
2018-01-03,2317806.0
2018-01-04,2313336.0
2018-01-05,2356256.0
2018-01-08,2326444.0
2018-01-09,2355108.0
2018-01-10,2371574.0
2018-01-11,2415480.0
2018-01-12,2437998.0
2018-01-15,2433618.0
