trading_date,OI_total_oi
2015-08-06,215532.0
2015-08-07,214108.0
2015-08-10,210742.0
2015-08-11,204016.0
2015-08-12,201636.0
2015-08-13,195248.0
2015-08-14,195116.0
2015-08-17,194970.0
2015-08-18,195342.0
2015-08-19,188528.0
2015-08-20,191254.0
2015-08-21,196322.0
2015-08-24,199264.0
2015-08-25,199786.0
2015-08-26,199338.0
2015-08-27,208384.0
2015-08-28,215030.0
2015-08-31,214126.0
2015-09-01,210502.0
2015-09-02,212738.0
2015-09-07,206564.0
2015-09-08,208830.0
2015-09-09,219568.0
2015-09-10,225066.0
2015-09-11,228262.0
2015-09-14,227772.0
2015-09-15,232776.0
2015-09-16,225642.0
2015-09-17,227236.0
2015-09-18,226382.0
2015-09-21,225228.0
2015-09-22,228458.0
2015-09-23,220228.0
2015-09-24,220138.0
2015-09-25,211836.0
2015-09-28,205068.0
2015-09-29,191734.0
2015-09-30,189916.0
2015-10-08,192952.0
2015-10-09,204592.0
2015-10-12,208938.0
2015-10-13,216094.0
2015-10-14,218026.0
2015-10-15,220720.0
2015-10-16,220478.0
2015-10-19,222836.0
2015-10-20,222448.0
2015-10-21,218676.0
2015-10-22,221758.0
2015-10-23,214908.0
2015-10-26,209546.0
2015-10-27,216574.0
2015-10-28,214614.0
2015-10-29,212110.0
2015-10-30,210422.0
2015-11-02,215214.0
2015-11-03,208500.0
2015-11-04,219052.0
2015-11-05,212540.0
2015-11-06,210040.0
2015-11-09,213596.0
2015-11-10,214750.0
2015-11-11,211682.0
2015-11-12,199754.0
2015-11-13,194606.0
2015-11-16,204110.0
2015-11-17,214248.0
2015-11-18,209690.0
2015-11-19,202740.0
2015-11-20,199798.0
2015-11-23,201664.0
2015-11-24,207544.0
2015-11-25,208170.0
2015-11-26,211994.0
2015-11-27,218098.0
2015-11-30,210428.0
2015-12-01,218504.0
2015-12-02,220926.0
2015-12-03,222904.0
2015-12-04,224496.0
2015-12-07,225968.0
2015-12-08,220566.0
2015-12-09,245406.0
2015-12-10,250270.0
2015-12-11,250658.0
2015-12-14,242610.0
2015-12-15,245440.0
2015-12-16,232068.0
2015-12-17,225382.0
2015-12-18,220806.0
2015-12-21,235416.0
2015-12-22,252862.0
2015-12-23,249746.0
2015-12-24,250334.0
2015-12-25,252892.0
2015-12-28,246020.0
2015-12-29,242584.0
2015-12-30,248226.0
2015-12-31,245096.0
2016-01-04,234054.0
2016-01-05,235822.0
2016-01-06,230112.0
2016-01-07,232092.0
2016-01-08,233390.0
2016-01-11,235288.0
2016-01-12,230764.0
2016-01-13,233560.0
2016-01-14,237564.0
2016-01-15,235022.0
2016-01-18,234742.0
2016-01-19,246312.0
2016-01-20,249508.0
2016-01-21,229656.0
2016-01-22,231688.0
2016-01-25,235496.0
2016-01-26,236924.0
2016-01-27,242736.0
2016-01-28,244846.0
2016-01-29,232056.0
2016-02-01,223562.0
2016-02-02,223560.0
