trading_date,TA_total_oi
2016-12-07,2662922.0
2016-12-08,2617094.0
2016-12-09,3030936.0
2016-12-12,2962478.0
2016-12-13,2959522.0
2016-12-14,2918512.0
2016-12-15,2962278.0
2016-12-16,2911898.0
2016-12-19,2883128.0
2016-12-20,2739586.0
2016-12-21,2727406.0
2016-12-22,2703906.0
2016-12-23,2689188.0
2016-12-26,2614722.0
2016-12-27,2587116.0
2016-12-28,2611556.0
2016-12-29,2618212.0
2016-12-30,2625540.0
2017-01-03,2631826.0
2017-01-04,2592168.0
2017-01-05,2600780.0
2017-01-06,2543198.0
2017-01-09,2524788.0
2017-01-10,2560324.0
2017-01-11,2577498.0
2017-01-12,2603026.0
2017-01-13,2624952.0
2017-01-16,2536882.0
2017-01-17,2549330.0
2017-01-18,2550540.0
2017-01-19,2516874.0
2017-01-20,2485030.0
2017-01-23,2610020.0
2017-01-24,2595608.0
2017-01-25,2772862.0
2017-01-26,2734640.0
2017-02-03,2738090.0
2017-02-06,3035082.0
2017-02-07,3025688.0
2017-02-08,3037976.0
2017-02-09,3007920.0
2017-02-10,3021054.0
2017-02-13,3125824.0
2017-02-14,3216442.0
2017-02-15,3137876.0
2017-02-16,3131598.0
2017-02-17,3107098.0
2017-02-20,3083196.0
2017-02-21,3026670.0
2017-02-22,2978522.0
2017-02-23,2942070.0
2017-02-24,2865592.0
2017-02-27,2829868.0
2017-02-28,2850510.0
2017-03-01,2868814.0
2017-03-02,2907928.0
2017-03-03,2936056.0
2017-03-06,2918196.0
2017-03-07,2924562.0
2017-03-08,2953788.0
2017-03-09,2949166.0
2017-03-10,2834820.0
2017-03-13,2901480.0
2017-03-14,2896444.0
2017-03-15,2904222.0
2017-03-16,2893120.0
2017-03-17,2913264.0
2017-03-20,2968770.0
2017-03-21,2959604.0
2017-03-22,2761930.0
2017-03-23,2695320.0
2017-03-24,2749050.0
2017-03-27,2651464.0
2017-03-28,2647060.0
2017-03-29,2684026.0
2017-03-30,2714182.0
2017-03-31,2673934.0
2017-04-05,2512582.0
2017-04-06,2490842.0
2017-04-07,2384182.0
2017-04-10,2388792.0
2017-04-11,2375080.0
2017-04-12,2413706.0
2017-04-13,2473392.0
2017-04-14,2482640.0
2017-04-17,2425940.0
2017-04-18,2420526.0
2017-04-19,2358300.0
2017-04-20,2328780.0
2017-04-21,2351102.0
2017-04-24,2357116.0
2017-04-25,2391400.0
2017-04-26,2394674.0
2017-04-27,2377780.0
2017-04-28,2339022.0
2017-05-02,2303072.0
2017-05-03,2260526.0
2017-05-04,2334792.0
2017-05-05,2338010.0
2017-05-08,2315256.0
2017-05-09,2339176.0
2017-05-10,2362154.0
2017-05-11,2326128.0
2017-05-12,2306436.0
2017-05-15,2282200.0
2017-05-16,2108230.0
2017-05-17,2073002.0
2017-05-18,2053358.0
2017-05-19,1977198.0
2017-05-22,1985352.0
2017-05-23,1953952.0
2017-05-24,1923748.0
2017-05-25,1923784.0
2017-05-26,1949192.0
2017-05-31,1934210.0
2017-06-01,1952110.0
2017-06-02,1965168.0
2017-06-05,1947494.0
2017-06-06,1969634.0
2017-06-07,1993466.0
2017-06-08,1977458.0
2017-06-09,1977928.0
2017-06-12,1959712.0
2017-06-13,1943260.0
2017-06-14,1914514.0
2017-06-15,1914286.0
2017-06-16,1943792.0
