trading_date,FG_total_oi
2017-06-23,448538.0
2017-06-26,451478.0
2017-06-27,439060.0
2017-06-28,411436.0
2017-06-29,373464.0
2017-06-30,356154.0
2017-07-03,346780.0
2017-07-04,325206.0
2017-07-05,362790.0
2017-07-06,330004.0
2017-07-07,354612.0
2017-07-10,363838.0
2017-07-11,368096.0
2017-07-12,362740.0
2017-07-13,349124.0
2017-07-14,343560.0
2017-07-17,359726.0
2017-07-18,350498.0
2017-07-19,529314.0
2017-07-20,440240.0
2017-07-21,426186.0
2017-07-24,410094.0
2017-07-25,424432.0
2017-07-26,425408.0
2017-07-27,400374.0
2017-07-28,396616.0
2017-07-31,404312.0
2017-08-01,393292.0
2017-08-02,407064.0
2017-08-03,379030.0
2017-08-04,377552.0
2017-08-07,358892.0
2017-08-08,336024.0
2017-08-09,368558.0
2017-08-10,364926.0
2017-08-11,330438.0
2017-08-14,379494.0
2017-08-15,351026.0
2017-08-16,331342.0
2017-08-17,387772.0
2017-08-18,362482.0
2017-08-21,405526.0
2017-08-22,378450.0
2017-08-23,373840.0
2017-08-24,369444.0
2017-08-25,337820.0
2017-08-28,309630.0
2017-08-29,302340.0
2017-08-30,300876.0
2017-08-31,307498.0
2017-09-01,281072.0
2017-09-04,317784.0
2017-09-05,295996.0
2017-09-06,285382.0
2017-09-07,292128.0
2017-09-08,287676.0
2017-09-11,280404.0
2017-09-12,284494.0
2017-09-13,266762.0
2017-09-14,322442.0
2017-09-15,280112.0
2017-09-18,275984.0
2017-09-19,253014.0
2017-09-20,250634.0
2017-09-21,257212.0
2017-09-22,260858.0
2017-09-25,271718.0
2017-09-26,249032.0
2017-09-27,232258.0
2017-09-28,236642.0
2017-09-29,219644.0
2017-10-09,262652.0
2017-10-10,338324.0
2017-10-11,310020.0
2017-10-12,293058.0
2017-10-13,258416.0
2017-10-16,256886.0
2017-10-17,236220.0
2017-10-18,239638.0
2017-10-19,224748.0
2017-10-20,244506.0
2017-10-23,216866.0
2017-10-24,206428.0
2017-10-25,229646.0
2017-10-26,230674.0
2017-10-27,243354.0
2017-10-30,249758.0
2017-10-31,268594.0
2017-11-01,300414.0
2017-11-02,241960.0
2017-11-03,229018.0
2017-11-06,241490.0
2017-11-07,241562.0
2017-11-08,248176.0
2017-11-09,311880.0
2017-11-10,336974.0
2017-11-13,313928.0
2017-11-14,341806.0
2017-11-15,396296.0
2017-11-16,430402.0
2017-11-17,546862.0
2017-11-20,649920.0
2017-11-21,647842.0
2017-11-22,631276.0
2017-11-23,599294.0
2017-11-24,574728.0
2017-11-27,620200.0
2017-11-28,570492.0
2017-11-29,619674.0
2017-11-30,653084.0
2017-12-01,630534.0
2017-12-04,670350.0
2017-12-05,622456.0
2017-12-06,638370.0
2017-12-07,610890.0
2017-12-08,570502.0
2017-12-11,575734.0
2017-12-12,553524.0
2017-12-13,587076.0
2017-12-14,530024.0
2017-12-15,519636.0
2017-12-18,543486.0
2017-12-19,521600.0
2017-12-20,520210.0
2017-12-21,541450.0
2017-12-22,573158.0
2017-12-25,542714.0
2017-12-26,529724.0
2017-12-27,536852.0
2017-12-28,500258.0
2017-12-29,489750.0
2018-01-02,447802.0
2018-01-03,449018.0
2018-01-04,441040.0
2018-01-05,444740.0
2018-01-08,528964.0
2018-01-09,539892.0
2018-01-10,555728.0
2018-01-11,521878.0
2018-01-12,529922.0
2018-01-15,511668.0
2018-01-16,498496.0
2018-01-17,489284.0
2018-01-18,529410.0
2018-01-19,486128.0
2018-01-22,516404.0
2018-01-23,450176.0
2018-01-24,462432.0
2018-01-25,501042.0
2018-01-26,461748.0
2018-01-29,541660.0
2018-01-30,513354.0
2018-01-31,505418.0
2018-02-01,461424.0
2018-02-02,475626.0
2018-02-05,482094.0
2018-02-06,486974.0
2018-02-07,490216.0
2018-02-08,583104.0
2018-02-09,552106.0
2018-02-12,522074.0
2018-02-13,478620.0
2018-02-14,435084.0
2018-02-22,458572.0
2018-02-23,510312.0
2018-02-26,478158.0
2018-02-27,484754.0
2018-02-28,520846.0
2018-03-01,534458.0
2018-03-02,534686.0
2018-03-05,530042.0
2018-03-06,511534.0
2018-03-07,556974.0
2018-03-08,563302.0
2018-03-09,554966.0
2018-03-12,530630.0
2018-03-13,511358.0
2018-03-14,518172.0
2018-03-15,526628.0
2018-03-16,501738.0
2018-03-19,513050.0
2018-03-20,470350.0
2018-03-21,517268.0
2018-03-22,594090.0
2018-03-23,506274.0
2018-03-26,485994.0
2018-03-27,467422.0
2018-03-28,461536.0
2018-03-29,440326.0
2018-03-30,431994.0
2018-04-02,390016.0
2018-04-03,367280.0
2018-04-04,331594.0
2018-04-09,329126.0
2018-04-10,332496.0
2018-04-11,339546.0
2018-04-12,324038.0
2018-04-13,310700.0
2018-04-16,319474.0
2018-04-17,289988.0
2018-04-18,297634.0
2018-04-19,279688.0
2018-04-20,266402.0
2018-04-23,259390.0
2018-04-24,252866.0
2018-04-25,268276.0
2018-04-26,249380.0
2018-04-27,251948.0
2018-05-02,253606.0
2018-05-03,259848.0
2018-05-04,275444.0
