trading_date,B_total_oi
2019-11-26,320588.0
2019-11-27,296062.0
2019-11-28,236836.0
2019-11-29,98766.0
2019-12-02,223932.0
2019-12-03,305906.0
2019-12-04,329446.0
2019-12-05,342790.0
2019-12-06,358636.0
2019-12-09,363154.0
2019-12-10,369616.0
2019-12-11,370572.0
2019-12-12,371696.0
2019-12-13,376520.0
2019-12-16,380660.0
2019-12-17,387838.0
2019-12-18,387050.0
2019-12-19,381928.0
2019-12-20,385870.0
2019-12-23,383928.0
2019-12-24,374274.0
2019-12-25,367940.0
2019-12-26,359924.0
2019-12-27,317616.0
2019-12-30,278842.0
2019-12-31,92026.0
2020-01-02,116679.0
2020-01-03,142541.0
2020-01-06,158696.0
2020-01-07,161241.0
2020-01-08,166799.0
2020-01-09,170201.0
2020-01-10,173920.0
2020-01-13,178122.0
2020-01-14,180761.0
2020-01-15,184973.0
2020-01-16,182892.0
2020-01-17,179406.0
2020-01-20,172540.0
2020-01-21,138837.0
2020-01-22,94190.0
2020-01-23,85567.0
2020-02-03,85275.0
2020-02-04,76350.0
2020-02-05,66504.0
2020-02-06,66247.0
2020-02-07,62802.0
2020-02-10,71594.0
2020-02-11,73606.0
2020-02-12,74218.0
2020-02-13,71582.0
2020-02-14,69784.0
2020-02-17,69486.0
2020-02-18,71288.0
2020-02-19,73845.0
2020-02-20,74554.0
2020-02-21,74808.0
2020-02-24,76483.0
2020-02-25,76759.0
2020-02-26,75718.0
2020-02-27,76069.0
2020-02-28,79514.0
2020-03-02,78857.0
2020-03-03,88697.0
2020-03-04,91540.0
2020-03-05,93599.0
2020-03-06,96273.0
2020-03-09,93506.0
2020-03-10,93796.0
2020-03-11,95226.0
2020-03-12,91668.0
2020-03-13,89280.0
2020-03-16,89314.0
2020-03-17,88619.0
2020-03-18,85675.0
2020-03-19,83926.0
2020-03-20,82072.0
2020-03-23,83148.0
2020-03-24,82209.0
2020-03-25,80610.0
2020-03-26,79346.0
2020-03-27,74367.0
2020-03-30,84731.0
2020-03-31,77801.0
2020-04-01,71154.0
2020-04-02,64988.0
2020-04-03,58867.0
2020-04-07,58711.0
2020-04-08,55828.0
2020-04-09,56009.0
2020-04-10,55137.0
2020-04-13,54968.0
2020-04-14,52798.0
2020-04-15,52818.0
2020-04-16,49707.0
2020-04-17,49588.0
2020-04-20,52062.0
2020-04-21,49953.0
2020-04-22,49235.0
2020-04-23,50580.0
2020-04-24,51922.0
2020-04-27,51158.0
2020-04-28,51026.0
2020-04-29,49064.0
2020-04-30,47713.0
2020-05-06,47654.0
2020-05-07,47887.0
2020-05-08,48951.0
2020-05-11,50545.0
2020-05-12,50805.0
2020-05-13,50716.0
2020-05-14,52338.0
2020-05-15,50609.0
2020-05-18,49963.0
2020-05-19,50019.0
2020-05-20,48966.0
2020-05-21,48508.0
2020-05-22,47373.0
2020-05-25,47231.0
2020-05-26,47913.0
2020-05-27,48241.0
2020-05-28,48685.0
2020-05-29,48500.0
2020-06-01,48450.0
2020-06-02,49613.0
2020-06-03,48859.0
2020-06-04,49862.0
2020-06-05,51495.0
2020-06-08,51308.0
2020-06-09,53190.0
2020-06-10,52721.0
2020-06-11,50818.0
2020-06-12,51000.0
2020-06-15,48732.0
2020-06-16,46327.0
2020-06-17,48324.0
2020-06-18,47766.0
2020-06-19,50288.0
2020-06-22,50069.0
2020-06-23,47654.0
2020-06-24,44542.0
2020-06-29,46385.0
2020-06-30,42799.0
2020-07-01,43405.0
2020-07-02,46688.0
2020-07-03,48100.0
2020-07-06,50512.0
2020-07-07,49749.0
2020-07-08,47684.0
2020-07-09,47488.0
2020-07-10,47929.0
2020-07-13,42817.0
2020-07-14,41353.0
2020-07-15,42006.0
2020-07-16,42432.0
2020-07-17,45864.0
2020-07-20,47576.0
2020-07-21,45781.0
2020-07-22,45881.0
2020-07-23,50946.0
2020-07-24,50078.0
2020-07-27,53197.0
2020-07-28,51225.0
2020-07-29,49872.0
2020-07-30,49723.0
2020-07-31,45957.0
2020-08-03,43412.0
2020-08-04,46265.0
2020-08-05,44767.0
2020-08-06,43686.0
