trading_date,MA_total_oi
2016-03-29,578592.0
2016-03-30,529274.0
2016-03-31,534468.0
2016-04-01,525416.0
2016-04-05,504590.0
2016-04-06,528590.0
2016-04-07,526212.0
2016-04-08,497012.0
2016-04-11,651922.0
2016-04-12,602736.0
2016-04-13,531780.0
2016-04-14,566234.0
2016-04-15,562910.0
2016-04-18,535570.0
2016-04-19,531052.0
2016-04-20,534922.0
2016-04-21,581320.0
2016-04-22,427748.0
2016-04-25,466542.0
2016-04-26,409576.0
2016-04-27,448386.0
2016-04-28,444562.0
2016-04-29,427394.0
2016-05-03,424662.0
2016-05-04,419760.0
2016-05-05,403970.0
2016-05-06,439428.0
2016-05-09,429814.0
2016-05-10,410578.0
2016-05-11,408888.0
2016-05-12,384628.0
2016-05-13,387468.0
2016-05-16,381074.0
2016-05-17,375902.0
2016-05-18,377016.0
2016-05-19,461272.0
2016-05-20,464256.0
2016-05-23,493438.0
2016-05-24,504108.0
2016-05-25,485644.0
2016-05-26,462720.0
2016-05-27,450262.0
2016-05-30,458948.0
2016-05-31,427260.0
2016-06-01,450796.0
2016-06-02,436578.0
2016-06-03,450266.0
2016-06-06,457658.0
2016-06-07,413954.0
2016-06-08,405338.0
2016-06-13,430036.0
2016-06-14,467654.0
2016-06-15,452784.0
2016-06-16,455348.0
2016-06-17,459974.0
2016-06-20,462546.0
2016-06-21,448952.0
2016-06-22,474276.0
2016-06-23,474420.0
2016-06-24,427712.0
2016-06-27,434416.0
2016-06-28,498556.0
2016-06-29,507104.0
2016-06-30,531542.0
2016-07-01,533782.0
2016-07-04,630782.0
2016-07-05,533694.0
2016-07-06,488404.0
2016-07-07,472086.0
2016-07-08,441398.0
2016-07-11,435050.0
2016-07-12,446126.0
2016-07-13,503998.0
2016-07-14,540540.0
2016-07-15,553030.0
2016-07-18,546902.0
2016-07-19,533890.0
2016-07-20,536542.0
2016-07-21,538628.0
2016-07-22,570918.0
2016-07-25,601756.0
2016-07-26,572992.0
2016-07-27,573130.0
2016-07-28,568080.0
2016-07-29,565312.0
2016-08-01,507548.0
2016-08-02,504300.0
2016-08-03,496046.0
2016-08-04,516640.0
2016-08-05,540416.0
2016-08-08,558342.0
2016-08-09,600056.0
2016-08-10,594618.0
2016-08-11,614716.0
2016-08-12,622876.0
2016-08-15,689688.0
2016-08-16,659906.0
2016-08-17,630596.0
2016-08-18,565134.0
2016-08-19,559748.0
2016-08-22,512376.0
2016-08-23,504184.0
2016-08-24,509984.0
2016-08-25,501660.0
2016-08-26,516886.0
2016-08-29,571406.0
2016-08-30,566296.0
2016-08-31,524366.0
2016-09-01,509654.0
2016-09-02,469902.0
2016-09-05,479358.0
2016-09-06,520982.0
2016-09-07,559670.0
2016-09-08,609034.0
2016-09-09,591498.0
2016-09-12,709952.0
2016-09-13,698052.0
2016-09-14,676500.0
2016-09-19,828250.0
2016-09-20,846080.0
2016-09-21,807802.0
2016-09-22,734602.0
2016-09-23,699738.0
2016-09-26,682124.0
2016-09-27,652632.0
2016-09-28,646480.0
2016-09-29,678746.0
2016-09-30,634426.0
2016-10-10,730146.0
2016-10-11,855432.0
2016-10-12,874624.0
2016-10-13,835644.0
2016-10-14,868770.0
2016-10-17,886154.0
2016-10-18,905658.0
2016-10-19,846420.0
2016-10-20,810290.0
2016-10-21,760964.0
2016-10-24,727074.0
2016-10-25,700616.0
2016-10-26,762716.0
2016-10-27,751982.0
2016-10-28,790418.0
2016-10-31,855766.0
2016-11-01,720166.0
2016-11-02,646234.0
2016-11-03,644722.0
2016-11-04,590638.0
2016-11-07,597938.0
2016-11-08,568734.0
2016-11-09,571204.0
2016-11-10,555774.0
2016-11-11,600342.0
2016-11-14,496558.0
2016-11-15,472752.0
2016-11-16,462746.0
2016-11-17,503756.0
2016-11-18,461756.0
2016-11-21,574626.0
2016-11-22,595960.0
2016-11-23,578084.0
2016-11-24,517750.0
