trading_date,ZC_total_oi
2016-12-02,232056.0
2016-12-05,218996.0
2016-12-06,213382.0
2016-12-07,211694.0
2016-12-08,208054.0
2016-12-09,205716.0
2016-12-12,216336.0
2016-12-13,204066.0
2016-12-14,200032.0
2016-12-15,186670.0
2016-12-16,183188.0
2016-12-19,197294.0
2016-12-20,194098.0
2016-12-21,203130.0
2016-12-22,220670.0
2016-12-23,226518.0
2016-12-26,239774.0
2016-12-27,222952.0
2016-12-28,221172.0
2016-12-29,241014.0
2016-12-30,233472.0
2017-01-03,259610.0
2017-01-04,238466.0
2017-01-05,221110.0
2017-01-06,205684.0
2017-01-09,197318.0
2017-01-10,195020.0
2017-01-11,181546.0
2017-01-12,178394.0
2017-01-13,173864.0
2017-01-16,188628.0
2017-01-17,176344.0
2017-01-18,166230.0
2017-01-19,164962.0
2017-01-20,164626.0
2017-01-23,162932.0
2017-01-24,154152.0
2017-01-25,152990.0
2017-01-26,151090.0
2017-02-03,151344.0
2017-02-06,175624.0
2017-02-07,176172.0
2017-02-08,185890.0
2017-02-09,178804.0
2017-02-10,178300.0
2017-02-13,184788.0
2017-02-14,182076.0
2017-02-15,193340.0
2017-02-16,246544.0
2017-02-17,241574.0
2017-02-20,260142.0
2017-02-21,252598.0
2017-02-22,262284.0
2017-02-23,292286.0
2017-02-24,281096.0
2017-02-27,292682.0
2017-02-28,303582.0
2017-03-01,300380.0
2017-03-02,309028.0
2017-03-03,308042.0
2017-03-06,340318.0
2017-03-07,329752.0
2017-03-08,353186.0
2017-03-09,393462.0
2017-03-10,393920.0
2017-03-13,467562.0
2017-03-14,444670.0
2017-03-15,426974.0
2017-03-16,401662.0
2017-03-17,432018.0
2017-03-20,426950.0
2017-03-21,426308.0
2017-03-22,423660.0
2017-03-23,459198.0
2017-03-24,447604.0
2017-03-27,481248.0
2017-03-28,487660.0
2017-03-29,499484.0
2017-03-30,493638.0
2017-03-31,491632.0
2017-04-05,478692.0
2017-04-06,462110.0
2017-04-07,453586.0
2017-04-10,431620.0
2017-04-11,438888.0
2017-04-12,422968.0
2017-04-13,445228.0
2017-04-14,424148.0
2017-04-17,434258.0
2017-04-18,443552.0
2017-04-19,448390.0
2017-04-20,439244.0
2017-04-21,409260.0
2017-04-24,434594.0
2017-04-25,417370.0
2017-04-26,396150.0
2017-04-27,381326.0
2017-04-28,350352.0
2017-05-02,353684.0
2017-05-03,367032.0
2017-05-04,415486.0
2017-05-05,419154.0
2017-05-08,410264.0
2017-05-09,398882.0
2017-05-10,401984.0
2017-05-11,420218.0
2017-05-12,414460.0
2017-05-15,414446.0
2017-05-16,444724.0
2017-05-17,439008.0
2017-05-18,413016.0
2017-05-19,428058.0
2017-05-22,391348.0
2017-05-23,373134.0
2017-05-24,359980.0
2017-05-25,365394.0
2017-05-26,371022.0
2017-05-31,365154.0
2017-06-01,383092.0
2017-06-02,366598.0
2017-06-05,404782.0
2017-06-06,404524.0
2017-06-07,457704.0
2017-06-08,488646.0
2017-06-09,479992.0
2017-06-12,509580.0
2017-06-13,545278.0
2017-06-14,558628.0
2017-06-15,534408.0
2017-06-16,548418.0
2017-06-19,557792.0
2017-06-20,565140.0
2017-06-21,567782.0
2017-06-22,576354.0
2017-06-23,566700.0
2017-06-26,557556.0
2017-06-27,563562.0
2017-06-28,538300.0
2017-06-29,519714.0
2017-06-30,532642.0
2017-07-03,496708.0
2017-07-04,492774.0
2017-07-05,553992.0
