trading_date,L_total_oi
2015-09-16,536438.0
2015-09-17,560584.0
2015-09-18,606674.0
2015-09-21,571358.0
2015-09-22,544992.0
2015-09-23,560790.0
2015-09-24,547018.0
2015-09-25,584710.0
2015-09-28,596960.0
2015-09-29,542032.0
2015-09-30,531164.0
2015-10-08,513696.0
2015-10-09,482474.0
2015-10-12,496974.0
2015-10-13,497606.0
2015-10-14,503666.0
2015-10-15,501708.0
2015-10-16,518424.0
2015-10-19,556228.0
2015-10-20,562032.0
2015-10-21,561038.0
2015-10-22,568426.0
2015-10-23,548938.0
2015-10-26,605372.0
2015-10-27,585902.0
2015-10-28,598096.0
2015-10-29,620826.0
2015-10-30,635904.0
2015-11-02,619160.0
2015-11-03,619084.0
2015-11-04,641110.0
2015-11-05,835008.0
2015-11-06,853210.0
2015-11-09,859672.0
2015-11-10,826556.0
2015-11-11,814780.0
2015-11-12,787614.0
2015-11-13,780648.0
2015-11-16,806530.0
2015-11-17,783888.0
2015-11-18,803916.0
2015-11-19,835536.0
2015-11-20,860226.0
2015-11-23,799404.0
2015-11-24,745126.0
2015-11-25,660200.0
2015-11-26,602592.0
2015-11-27,539498.0
2015-11-30,575008.0
2015-12-01,544688.0
2015-12-02,550102.0
2015-12-03,570418.0
2015-12-04,568990.0
2015-12-07,568128.0
2015-12-08,537916.0
2015-12-09,519478.0
2015-12-10,555806.0
2015-12-11,563428.0
2015-12-14,577052.0
2015-12-15,549130.0
2015-12-16,577134.0
2015-12-17,582586.0
2015-12-18,646818.0
2015-12-21,596452.0
2015-12-22,614500.0
2015-12-23,660132.0
2015-12-24,651202.0
2015-12-25,647134.0
2015-12-28,640898.0
2015-12-29,647348.0
2015-12-30,676918.0
2015-12-31,663018.0
2016-01-04,675078.0
2016-01-05,676438.0
2016-01-06,687004.0
2016-01-07,681828.0
2016-01-08,658930.0
2016-01-11,665670.0
2016-01-12,718960.0
2016-01-13,765362.0
2016-01-14,757438.0
2016-01-15,753208.0
2016-01-18,768394.0
2016-01-19,827108.0
2016-01-20,781548.0
2016-01-21,861110.0
2016-01-22,886924.0
2016-01-25,952012.0
2016-01-26,982026.0
2016-01-27,993368.0
2016-01-28,956118.0
2016-01-29,954848.0
2016-02-01,938980.0
2016-02-02,934722.0
2016-02-03,919324.0
2016-02-04,859992.0
2016-02-05,811466.0
2016-02-15,827902.0
2016-02-16,903874.0
2016-02-17,971646.0
2016-02-18,983504.0
2016-02-19,1030020.0
2016-02-22,937708.0
2016-02-23,934504.0
2016-02-24,972414.0
2016-02-25,928368.0
2016-02-26,933932.0
2016-02-29,990292.0
2016-03-01,1027592.0
2016-03-02,978260.0
2016-03-03,962866.0
2016-03-04,934252.0
2016-03-07,846812.0
2016-03-08,791934.0
2016-03-09,897774.0
2016-03-10,822712.0
2016-03-11,814482.0
2016-03-14,876944.0
2016-03-15,890086.0
2016-03-16,932180.0
2016-03-17,976734.0
2016-03-18,986124.0
2016-03-21,960124.0
2016-03-22,912900.0
2016-03-23,894842.0
2016-03-24,899986.0
2016-03-25,904546.0
2016-03-28,954768.0
2016-03-29,963152.0
2016-03-30,909638.0
2016-03-31,931902.0
2016-04-01,939086.0
2016-04-05,907418.0
2016-04-06,994332.0
2016-04-07,983194.0
2016-04-08,928064.0
2016-04-11,901806.0
2016-04-12,852386.0
