trading_date,V_total_oi
2015-02-25,46516.0
2015-02-26,47228.0
2015-02-27,46230.0
2015-03-02,43736.0
2015-03-03,42832.0
2015-03-04,42238.0
2015-03-05,43760.0
2015-03-06,44346.0
2015-03-09,45158.0
2015-03-10,45872.0
2015-03-11,46190.0
2015-03-12,45970.0
2015-03-13,45026.0
2015-03-16,44408.0
2015-03-17,42864.0
2015-03-18,41618.0
2015-03-19,38962.0
2015-03-20,40018.0
2015-03-23,41330.0
2015-03-24,40968.0
2015-03-25,40432.0
2015-03-26,41982.0
2015-03-27,38398.0
2015-03-30,39102.0
2015-03-31,40686.0
2015-04-01,39550.0
2015-04-02,39756.0
2015-04-03,39122.0
2015-04-07,37938.0
2015-04-08,39028.0
2015-04-09,39690.0
2015-04-10,39274.0
2015-04-13,39014.0
2015-04-14,38658.0
2015-04-15,40072.0
2015-04-16,34842.0
2015-04-17,36986.0
2015-04-20,39178.0
2015-04-21,39224.0
2015-04-22,39204.0
2015-04-23,40640.0
2015-04-24,39192.0
2015-04-27,38838.0
2015-04-28,35930.0
2015-04-29,33608.0
2015-04-30,32728.0
2015-05-04,33522.0
2015-05-05,33994.0
2015-05-06,32162.0
2015-05-07,30708.0
2015-05-08,29282.0
2015-05-11,30216.0
2015-05-12,30338.0
2015-05-13,30340.0
2015-05-14,30956.0
2015-05-15,29536.0
2015-05-18,31200.0
2015-05-19,30636.0
2015-05-20,34172.0
2015-05-21,32906.0
2015-05-22,31364.0
2015-05-25,31496.0
2015-05-26,33302.0
2015-05-27,34152.0
2015-05-28,36236.0
2015-05-29,34588.0
2015-06-01,33518.0
2015-06-02,32628.0
2015-06-03,33256.0
2015-06-04,33194.0
2015-06-05,36058.0
2015-06-08,39074.0
2015-06-09,38434.0
2015-06-10,38136.0
2015-06-11,38218.0
2015-06-12,38714.0
2015-06-15,41826.0
2015-06-16,39694.0
2015-06-17,41712.0
2015-06-18,41126.0
2015-06-19,41476.0
2015-06-23,40748.0
2015-06-24,40026.0
2015-06-25,40854.0
2015-06-26,40952.0
2015-06-29,38544.0
2015-06-30,36942.0
2015-07-01,32580.0
2015-07-02,31464.0
2015-07-03,31428.0
2015-07-06,31880.0
2015-07-07,37030.0
2015-07-08,37542.0
2015-07-09,36182.0
2015-07-10,37376.0
2015-07-13,37914.0
2015-07-14,37910.0
2015-07-15,38682.0
2015-07-16,38370.0
2015-07-17,37934.0
2015-07-20,37340.0
2015-07-21,37036.0
2015-07-22,36700.0
2015-07-23,36660.0
2015-07-24,35902.0
2015-07-27,39648.0
2015-07-28,39906.0
2015-07-29,38654.0
2015-07-30,37870.0
2015-07-31,37552.0
2015-08-03,38620.0
2015-08-04,37436.0
2015-08-05,37796.0
2015-08-06,36778.0
2015-08-07,36296.0
2015-08-10,36272.0
2015-08-11,33322.0
2015-08-12,32612.0
2015-08-13,31570.0
2015-08-14,30320.0
2015-08-17,30126.0
2015-08-18,30364.0
2015-08-19,30048.0
2015-08-20,30320.0
2015-08-21,30498.0
2015-08-24,35652.0
2015-08-25,36180.0
2015-08-26,36488.0
2015-08-27,36698.0
2015-08-28,34246.0
2015-08-31,33640.0
2015-09-01,34002.0
2015-09-02,34098.0
2015-09-07,35392.0
2015-09-08,35460.0
2015-09-09,35686.0
2015-09-10,35346.0
2015-09-11,35582.0
2015-09-14,35548.0
2015-09-15,38512.0
2015-09-16,35428.0
2015-09-17,36386.0
2015-09-18,36330.0
2015-09-21,38584.0
2015-09-22,40280.0
2015-09-23,40880.0
2015-09-24,40058.0
2015-09-25,40604.0
2015-09-28,40566.0
2015-09-29,40418.0
2015-09-30,40282.0
2015-10-08,39926.0
2015-10-09,39598.0
2015-10-12,41470.0
2015-10-13,41136.0
2015-10-14,42068.0
2015-10-15,43246.0
2015-10-16,44246.0
2015-10-19,45390.0
2015-10-20,45848.0
2015-10-21,48062.0
2015-10-22,48814.0
2015-10-23,49184.0
2015-10-26,51254.0
2015-10-27,52912.0
2015-10-28,58698.0
2015-10-29,62876.0
2015-10-30,65032.0
2015-11-02,68900.0
2015-11-03,71612.0
2015-11-04,76068.0
2015-11-05,75102.0
2015-11-06,73776.0
2015-11-09,74542.0
2015-11-10,72106.0
2015-11-11,71458.0
2015-11-12,70606.0
2015-11-13,70938.0
2015-11-16,71148.0
2015-11-17,69830.0
2015-11-18,70864.0
2015-11-19,72242.0
2015-11-20,68740.0
2015-11-23,68876.0
2015-11-24,62932.0
2015-11-25,61040.0
2015-11-26,62392.0
2015-11-27,62408.0
2015-11-30,63188.0
2015-12-01,63876.0
2015-12-02,64374.0
2015-12-03,64308.0
2015-12-04,65002.0
2015-12-07,66552.0
2015-12-08,66782.0
2015-12-09,64864.0
2015-12-10,62802.0
2015-12-11,62062.0
2015-12-14,62302.0
2015-12-15,62196.0
2015-12-16,61538.0
2015-12-17,61562.0
2015-12-18,62882.0
2015-12-21,64538.0
2015-12-22,64192.0
2015-12-23,60986.0
2015-12-24,60362.0
2015-12-25,59952.0
2015-12-28,60896.0
2015-12-29,58800.0
2015-12-30,58034.0
2015-12-31,57194.0
2016-01-04,56684.0
2016-01-05,58638.0
2016-01-06,58126.0
2016-01-07,53286.0
2016-01-08,55472.0
2016-01-11,62470.0
2016-01-12,61560.0
2016-01-13,60998.0
2016-01-14,60070.0
2016-01-15,59534.0
2016-01-18,63398.0
2016-01-19,63576.0
2016-01-20,66208.0
2016-01-21,70922.0
2016-01-22,69488.0
2016-01-25,73694.0
2016-01-26,73414.0
2016-01-27,73028.0
2016-01-28,74668.0
2016-01-29,75366.0
2016-02-01,77188.0
2016-02-02,77786.0
2016-02-03,78008.0
2016-02-04,75716.0
2016-02-05,74582.0
2016-02-15,75998.0
2016-02-16,77030.0
2016-02-17,77510.0
2016-02-18,79446.0
2016-02-19,75146.0
2016-02-22,75906.0
2016-02-23,77690.0
2016-02-24,81736.0
2016-02-25,81660.0
2016-02-26,82366.0
2016-02-29,82204.0
2016-03-01,82976.0
2016-03-02,81112.0
2016-03-03,74742.0
2016-03-04,69606.0
2016-03-07,69002.0
2016-03-08,67318.0
2016-03-09,63544.0
2016-03-10,62124.0
2016-03-11,63028.0
2016-03-14,66672.0
2016-03-15,67852.0
2016-03-16,62510.0
2016-03-17,60162.0
2016-03-18,57142.0
2016-03-21,55196.0
2016-03-22,54266.0
2016-03-23,53462.0
2016-03-24,52200.0
2016-03-25,52462.0
2016-03-28,57750.0
2016-03-29,64560.0
2016-03-30,61438.0
2016-03-31,61972.0
2016-04-01,57372.0
2016-04-05,57290.0
2016-04-06,63984.0
2016-04-07,64632.0
2016-04-08,68474.0
2016-04-11,69652.0
2016-04-12,72322.0
2016-04-13,75028.0
2016-04-14,77136.0
2016-04-15,75076.0
2016-04-18,78558.0
2016-04-19,80682.0
2016-04-20,80404.0
2016-04-21,75716.0
2016-04-22,64078.0
2016-04-25,62226.0
2016-04-26,56770.0
2016-04-27,56882.0
2016-04-28,56264.0
2016-04-29,55644.0
2016-05-03,52252.0
2016-05-04,57674.0
2016-05-05,60034.0
2016-05-06,64212.0
2016-05-09,64290.0
2016-05-10,62756.0
2016-05-11,61838.0
2016-05-12,62912.0
2016-05-13,63686.0
2016-05-16,63990.0
2016-05-17,64478.0
2016-05-18,64028.0
2016-05-19,64700.0
2016-05-20,67510.0
2016-05-23,66340.0
2016-05-24,68852.0
2016-05-25,71498.0
2016-05-26,75040.0
2016-05-27,75768.0
2016-05-30,74016.0
