trading_date,HC_total_oi
2017-06-09,670214.0
2017-06-12,666390.0
2017-06-13,624526.0
2017-06-14,644054.0
2017-06-15,703174.0
2017-06-16,695870.0
2017-06-19,696844.0
2017-06-20,765724.0
2017-06-21,739930.0
2017-06-22,747312.0
2017-06-23,756066.0
2017-06-26,814142.0
2017-06-27,835888.0
2017-06-28,862266.0
2017-06-29,849024.0
2017-06-30,785400.0
2017-07-03,818980.0
2017-07-04,742982.0
2017-07-05,752230.0
2017-07-06,736206.0
2017-07-07,746850.0
2017-07-10,762692.0
2017-07-11,795714.0
2017-07-12,772806.0
2017-07-13,810352.0
2017-07-14,762296.0
2017-07-17,813260.0
2017-07-18,789248.0
2017-07-19,811434.0
2017-07-20,734010.0
2017-07-21,715914.0
2017-07-24,686678.0
2017-07-25,666818.0
2017-07-26,657972.0
2017-07-27,646158.0
2017-07-28,655632.0
2017-07-31,737290.0
2017-08-01,731094.0
2017-08-02,759620.0
2017-08-03,800500.0
2017-08-04,873006.0
2017-08-07,858262.0
2017-08-08,802572.0
2017-08-09,838086.0
2017-08-10,830910.0
2017-08-11,784798.0
2017-08-14,766732.0
2017-08-15,746122.0
2017-08-16,771810.0
2017-08-17,781878.0
2017-08-18,811704.0
2017-08-21,810384.0
2017-08-22,786870.0
2017-08-23,782718.0
2017-08-24,744262.0
2017-08-25,914828.0
2017-08-28,863130.0
2017-08-29,1002360.0
2017-08-30,982544.0
2017-08-31,999828.0
2017-09-01,1093768.0
2017-09-04,1151472.0
2017-09-05,1204164.0
2017-09-06,1160696.0
2017-09-07,1104490.0
2017-09-08,1131350.0
2017-09-11,1029850.0
2017-09-12,1095454.0
2017-09-13,1046098.0
2017-09-14,1159330.0
2017-09-15,1116538.0
2017-09-18,1103604.0
2017-09-19,1057918.0
2017-09-20,1054478.0
2017-09-21,1100520.0
2017-09-22,1041596.0
2017-09-25,1021936.0
2017-09-26,1004366.0
2017-09-27,1044824.0
2017-09-28,1031224.0
2017-09-29,1000764.0
2017-10-09,1024126.0
2017-10-10,1070636.0
2017-10-11,1037592.0
2017-10-12,1211958.0
2017-10-13,1217778.0
2017-10-16,1264042.0
2017-10-17,1179748.0
2017-10-18,1129014.0
2017-10-19,1162508.0
2017-10-20,1123406.0
2017-10-23,1133024.0
2017-10-24,1146410.0
2017-10-25,1162912.0
2017-10-26,1197650.0
2017-10-27,1269444.0
2017-10-30,1205052.0
2017-10-31,1191320.0
2017-11-01,1209936.0
2017-11-02,1226294.0
2017-11-03,1155996.0
2017-11-06,1126806.0
2017-11-07,1063704.0
2017-11-08,1081006.0
2017-11-09,1098838.0
2017-11-10,1092380.0
2017-11-13,1116736.0
2017-11-14,1083030.0
2017-11-15,1054130.0
2017-11-16,1038414.0
2017-11-17,1068266.0
2017-11-20,984824.0
2017-11-21,932522.0
2017-11-22,945608.0
2017-11-23,923992.0
2017-11-24,874040.0
2017-11-27,866880.0
2017-11-28,880574.0
2017-11-29,922654.0
2017-11-30,941552.0
2017-12-01,903792.0
2017-12-04,951964.0
2017-12-05,935646.0
2017-12-06,882640.0
2017-12-07,830304.0
2017-12-08,776094.0
