trading_date,NI_total_oi
2016-08-15,759158.0
2016-08-16,740748.0
2016-08-17,745048.0
2016-08-18,738020.0
2016-08-19,739530.0
2016-08-22,744194.0
2016-08-23,723764.0
2016-08-24,724406.0
2016-08-25,716928.0
2016-08-26,700962.0
2016-08-29,675468.0
2016-08-30,682876.0
2016-08-31,675954.0
2016-09-01,663818.0
2016-09-02,644764.0
2016-09-05,651236.0
2016-09-06,639324.0
2016-09-07,622998.0
2016-09-08,629460.0
2016-09-09,623084.0
2016-09-12,611480.0
2016-09-13,603620.0
2016-09-14,600104.0
2016-09-19,598424.0
2016-09-20,535242.0
2016-09-21,525252.0
2016-09-22,522006.0
2016-09-23,529044.0
2016-09-26,538924.0
2016-09-27,558856.0
2016-09-28,537620.0
2016-09-29,520956.0
2016-09-30,491200.0
2016-10-10,492580.0
2016-10-11,521864.0
2016-10-12,516818.0
2016-10-13,528800.0
2016-10-14,524342.0
2016-10-17,544224.0
2016-10-18,550626.0
2016-10-19,568294.0
2016-10-20,564120.0
2016-10-21,602346.0
2016-10-24,588786.0
2016-10-25,591272.0
2016-10-26,592300.0
2016-10-27,592580.0
2016-10-28,596560.0
2016-10-31,640146.0
2016-11-01,619420.0
2016-11-02,595184.0
2016-11-03,600810.0
2016-11-04,598068.0
2016-11-07,680832.0
2016-11-08,673754.0
2016-11-09,668780.0
2016-11-10,680534.0
2016-11-11,670438.0
2016-11-14,593736.0
2016-11-15,610000.0
2016-11-16,617046.0
2016-11-17,612714.0
2016-11-18,616534.0
2016-11-21,630292.0
2016-11-22,623826.0
2016-11-23,626572.0
2016-11-24,643130.0
2016-11-25,631908.0
2016-11-28,654168.0
2016-11-29,630386.0
2016-11-30,610340.0
2016-12-01,603900.0
2016-12-02,605094.0
2016-12-05,634430.0
2016-12-06,614804.0
2016-12-07,638708.0
2016-12-08,632260.0
2016-12-09,637562.0
2016-12-12,625000.0
2016-12-13,632846.0
2016-12-14,660608.0
2016-12-15,644748.0
2016-12-16,639382.0
2016-12-19,636296.0
2016-12-20,642986.0
2016-12-21,638828.0
2016-12-22,653014.0
2016-12-23,641166.0
2016-12-26,632138.0
2016-12-27,610142.0
2016-12-28,619620.0
2016-12-29,612810.0
2016-12-30,615148.0
2017-01-03,618396.0
2017-01-04,640276.0
2017-01-05,633280.0
2017-01-06,626672.0
2017-01-09,616808.0
2017-01-10,619730.0
2017-01-11,614078.0
2017-01-12,647580.0
2017-01-13,697142.0
2017-01-16,698758.0
2017-01-17,668680.0
2017-01-18,670608.0
2017-01-19,672716.0
2017-01-20,731142.0
2017-01-23,730052.0
2017-01-24,757242.0
2017-01-25,769440.0
2017-01-26,763186.0
2017-02-03,724342.0
2017-02-06,734076.0
2017-02-07,717136.0
2017-02-08,717652.0
2017-02-09,709760.0
2017-02-10,720574.0
2017-02-13,719654.0
2017-02-14,718886.0
2017-02-15,713110.0
2017-02-16,697594.0
2017-02-17,692590.0
2017-02-20,688730.0
2017-02-21,687816.0
2017-02-22,687750.0
2017-02-23,685454.0
2017-02-24,687884.0
2017-02-27,696838.0
2017-02-28,682540.0
2017-03-01,686544.0
2017-03-02,677180.0
2017-03-03,683240.0
2017-03-06,682548.0
2017-03-07,681818.0
2017-03-08,703026.0
2017-03-09,694870.0
2017-03-10,693938.0
2017-03-13,699716.0
2017-03-14,687878.0
2017-03-15,704612.0
2017-03-16,702592.0
2017-03-17,722460.0
2017-03-20,705708.0
2017-03-21,705898.0
2017-03-22,714466.0
2017-03-23,694882.0
2017-03-24,711922.0
2017-03-27,700584.0
2017-03-28,671316.0
2017-03-29,675794.0
2017-03-30,665950.0
2017-03-31,661148.0
2017-04-05,668156.0
2017-04-06,657672.0
2017-04-07,635182.0
2017-04-10,618136.0
2017-04-11,603164.0
2017-04-12,620536.0
2017-04-13,614544.0
2017-04-14,634998.0
2017-04-17,635402.0
2017-04-18,643254.0
2017-04-19,634082.0
2017-04-20,620018.0
2017-04-21,635798.0
2017-04-24,652384.0
2017-04-25,681138.0
2017-04-26,672914.0
2017-04-27,686082.0
2017-04-28,675056.0
2017-05-02,673428.0
2017-05-03,683072.0
2017-05-04,682068.0
