trading_date,BU_total_oi
2017-06-23,809924.0
2017-06-26,783774.0
2017-06-27,784558.0
2017-06-28,758422.0
2017-06-29,763014.0
2017-06-30,755074.0
2017-07-03,763556.0
2017-07-04,762190.0
2017-07-05,761808.0
2017-07-06,776970.0
2017-07-07,807450.0
2017-07-10,802850.0
2017-07-11,858296.0
2017-07-12,831286.0
2017-07-13,848310.0
2017-07-14,879590.0
2017-07-17,847834.0
2017-07-18,827952.0
2017-07-19,851432.0
2017-07-20,834578.0
2017-07-21,803648.0
2017-07-24,823260.0
2017-07-25,882724.0
2017-07-26,845636.0
2017-07-27,866300.0
2017-07-28,821918.0
2017-07-31,801448.0
2017-08-01,796582.0
2017-08-02,780934.0
2017-08-03,776576.0
2017-08-04,779470.0
2017-08-07,744422.0
2017-08-08,744914.0
2017-08-09,745682.0
2017-08-10,704354.0
2017-08-11,660508.0
2017-08-14,662952.0
2017-08-15,669642.0
2017-08-16,683406.0
2017-08-17,720368.0
2017-08-18,751424.0
2017-08-21,753630.0
2017-08-22,768926.0
2017-08-23,805840.0
2017-08-24,824812.0
2017-08-25,833244.0
2017-08-28,814758.0
2017-08-29,814354.0
2017-08-30,813316.0
2017-08-31,822180.0
2017-09-01,825514.0
2017-09-04,828916.0
2017-09-05,863824.0
2017-09-06,878534.0
2017-09-07,863276.0
2017-09-08,839954.0
2017-09-11,795706.0
2017-09-12,779294.0
2017-09-13,776912.0
2017-09-14,768466.0
2017-09-15,762884.0
2017-09-18,733686.0
2017-09-19,757476.0
2017-09-20,740630.0
2017-09-21,727686.0
2017-09-22,696862.0
2017-09-25,688558.0
2017-09-26,667870.0
2017-09-27,651092.0
2017-09-28,615156.0
2017-09-29,586656.0
2017-10-09,632466.0
2017-10-10,638030.0
2017-10-11,629926.0
2017-10-12,609276.0
2017-10-13,614190.0
2017-10-16,635830.0
2017-10-17,608498.0
2017-10-18,602516.0
2017-10-19,622248.0
2017-10-20,594554.0
2017-10-23,574888.0
2017-10-24,564272.0
2017-10-25,516484.0
2017-10-26,518604.0
2017-10-27,491458.0
2017-10-30,531880.0
2017-10-31,533462.0
2017-11-01,536870.0
2017-11-02,520958.0
2017-11-03,521380.0
2017-11-06,531620.0
2017-11-07,542580.0
2017-11-08,519590.0
2017-11-09,518528.0
2017-11-10,512478.0
2017-11-13,521332.0
2017-11-14,502540.0
2017-11-15,443432.0
2017-11-16,428426.0
2017-11-17,422598.0
2017-11-20,409088.0
2017-11-21,389484.0
2017-11-22,394812.0
2017-11-23,404028.0
2017-11-24,407994.0
2017-11-27,417900.0
2017-11-28,408328.0
2017-11-29,405966.0
2017-11-30,395568.0
2017-12-01,412922.0
2017-12-04,433716.0
2017-12-05,439638.0
2017-12-06,464926.0
2017-12-07,384646.0
2017-12-08,369040.0
2017-12-11,354180.0
2017-12-12,382628.0
2017-12-13,357994.0
2017-12-14,345526.0
2017-12-15,362900.0
2017-12-18,338200.0
2017-12-19,331140.0
2017-12-20,326492.0
2017-12-21,369576.0
2017-12-22,375928.0
2017-12-25,377892.0
2017-12-26,376790.0
2017-12-27,380558.0
2017-12-28,371802.0
2017-12-29,369966.0
2018-01-02,414860.0
2018-01-03,421210.0
2018-01-04,435666.0
2018-01-05,455410.0
2018-01-08,466506.0
2018-01-09,475636.0
2018-01-10,495524.0
2018-01-11,487378.0
2018-01-12,492874.0
2018-01-15,541210.0
2018-01-16,484716.0
2018-01-17,481440.0
2018-01-18,484864.0
2018-01-19,470078.0
2018-01-22,480026.0
2018-01-23,458592.0
