trading_date,J_total_oi
2017-04-13,209004.0
2017-04-14,231160.0
2017-04-17,230090.0
2017-04-18,231902.0
2017-04-19,246258.0
2017-04-20,240630.0
2017-04-21,238844.0
2017-04-24,235572.0
2017-04-25,227602.0
2017-04-26,235920.0
2017-04-27,219284.0
2017-04-28,205014.0
2017-05-02,197618.0
2017-05-03,230342.0
2017-05-04,244874.0
2017-05-05,222186.0
2017-05-08,231856.0
2017-05-09,222172.0
2017-05-10,225276.0
2017-05-11,235310.0
2017-05-12,231346.0
2017-05-15,230374.0
2017-05-16,224890.0
2017-05-17,226392.0
2017-05-18,212352.0
2017-05-19,216690.0
2017-05-22,211974.0
2017-05-23,204960.0
2017-05-24,206894.0
2017-05-25,192864.0
2017-05-26,187362.0
2017-05-31,212298.0
2017-06-01,215716.0
2017-06-02,239746.0
2017-06-05,224390.0
2017-06-06,231866.0
2017-06-07,217496.0
2017-06-08,223308.0
2017-06-09,218960.0
2017-06-12,227494.0
2017-06-13,217940.0
2017-06-14,252936.0
2017-06-15,228180.0
2017-06-16,246516.0
2017-06-19,271438.0
2017-06-20,268850.0
2017-06-21,295476.0
2017-06-22,298400.0
2017-06-23,288038.0
2017-06-26,290416.0
2017-06-27,295460.0
2017-06-28,283128.0
2017-06-29,303068.0
2017-06-30,276140.0
2017-07-03,290478.0
2017-07-04,292484.0
2017-07-05,284632.0
2017-07-06,295952.0
2017-07-07,297032.0
2017-07-10,318804.0
2017-07-11,309868.0
2017-07-12,307488.0
2017-07-13,303386.0
2017-07-14,301204.0
2017-07-17,301610.0
2017-07-18,294056.0
2017-07-19,299496.0
2017-07-20,289752.0
2017-07-21,330742.0
2017-07-24,307956.0
2017-07-25,319672.0
2017-07-26,315258.0
2017-07-27,315314.0
2017-07-28,338472.0
2017-07-31,325378.0
2017-08-01,293598.0
2017-08-02,345364.0
2017-08-03,320646.0
2017-08-04,288326.0
2017-08-07,303028.0
2017-08-08,285630.0
2017-08-09,289488.0
2017-08-10,274256.0
2017-08-11,314400.0
2017-08-14,283272.0
2017-08-15,304004.0
2017-08-16,290948.0
2017-08-17,328160.0
