trading_date,CS_total_oi
2016-11-08,1168540.0
2016-11-09,1110806.0
2016-11-10,1096718.0
2016-11-11,1045612.0
2016-11-14,933502.0
2016-11-15,934174.0
2016-11-16,954186.0
2016-11-17,941182.0
2016-11-18,951612.0
2016-11-21,979710.0
2016-11-22,973650.0
2016-11-23,998102.0
2016-11-24,1026694.0
2016-11-25,982450.0
2016-11-28,1021832.0
2016-11-29,1058572.0
2016-11-30,1046354.0
2016-12-01,1071190.0
2016-12-02,1048996.0
2016-12-05,1047372.0
2016-12-06,1031070.0
2016-12-07,1022682.0
2016-12-08,1022642.0
2016-12-09,1017852.0
2016-12-12,1083468.0
2016-12-13,1077240.0
2016-12-14,1059114.0
2016-12-15,1065658.0
2016-12-16,1095644.0
2016-12-19,1101100.0
2016-12-20,1036798.0
2016-12-21,1047940.0
2016-12-22,1048012.0
2016-12-23,994452.0
2016-12-26,952582.0
2016-12-27,936334.0
2016-12-28,971208.0
2016-12-29,1001024.0
2016-12-30,1011518.0
2017-01-03,1032520.0
2017-01-04,1063066.0
2017-01-05,1055906.0
2017-01-06,1099880.0
2017-01-09,1112796.0
2017-01-10,1131672.0
2017-01-11,1195586.0
2017-01-12,1219388.0
2017-01-13,1240824.0
2017-01-16,1205840.0
2017-01-17,1176592.0
2017-01-18,1238568.0
2017-01-19,1320436.0
2017-01-20,1341920.0
2017-01-23,1331578.0
2017-01-24,1309588.0
2017-01-25,1296564.0
2017-01-26,1274176.0
2017-02-03,1270320.0
2017-02-06,1391070.0
2017-02-07,1435406.0
2017-02-08,1458888.0
2017-02-09,1513750.0
2017-02-10,1514722.0
2017-02-13,1529932.0
2017-02-14,1563912.0
2017-02-15,1540002.0
2017-02-16,1502496.0
2017-02-17,1463432.0
2017-02-20,1433726.0
2017-02-21,1341228.0
2017-02-22,1327212.0
2017-02-23,1275982.0
2017-02-24,1331932.0
2017-02-27,1329318.0
2017-02-28,1304882.0
2017-03-01,1281046.0
2017-03-02,1259778.0
2017-03-03,1238256.0
2017-03-06,1251808.0
2017-03-07,1245478.0
2017-03-08,1131768.0
