trading_date,RM_total_oi
2016-06-16,1160886.0
2016-06-17,1199506.0
2016-06-20,1257120.0
2016-06-21,1236534.0
2016-06-22,1225902.0
2016-06-23,1228504.0
2016-06-24,1190770.0
2016-06-27,1279384.0
2016-06-28,1308718.0
2016-06-29,1137324.0
2016-06-30,1312740.0
2016-07-01,1278612.0
2016-07-04,1152182.0
2016-07-05,1044078.0
2016-07-06,963306.0
2016-07-07,981674.0
2016-07-08,826902.0
2016-07-11,966590.0
2016-07-12,895334.0
2016-07-13,896838.0
2016-07-14,847936.0
2016-07-15,874332.0
2016-07-18,804506.0
2016-07-19,870580.0
2016-07-20,901050.0
2016-07-21,915264.0
2016-07-22,912862.0
2016-07-25,887536.0
2016-07-26,898922.0
2016-07-27,883746.0
2016-07-28,867652.0
2016-07-29,884202.0
2016-08-01,890614.0
2016-08-02,846838.0
2016-08-03,833716.0
2016-08-04,885752.0
2016-08-05,910482.0
2016-08-08,874614.0
2016-08-09,857342.0
2016-08-10,931082.0
2016-08-11,916466.0
2016-08-12,921148.0
2016-08-15,908336.0
2016-08-16,894876.0
2016-08-17,910176.0
2016-08-18,917198.0
2016-08-19,884892.0
2016-08-22,847052.0
2016-08-23,847942.0
2016-08-24,869986.0
2016-08-25,874236.0
2016-08-26,841884.0
2016-08-29,876530.0
2016-08-30,873654.0
2016-08-31,912904.0
2016-09-01,960714.0
2016-09-02,925370.0
2016-09-05,968714.0
2016-09-06,930116.0
2016-09-07,888302.0
2016-09-08,873882.0
2016-09-09,848750.0
2016-09-12,813986.0
2016-09-13,781760.0
2016-09-14,748716.0
2016-09-19,745484.0
2016-09-20,796636.0
2016-09-21,798806.0
2016-09-22,793572.0
2016-09-23,814846.0
2016-09-26,809406.0
2016-09-27,787862.0
2016-09-28,767106.0
2016-09-29,680368.0
2016-09-30,604310.0
2016-10-10,650358.0
2016-10-11,683132.0
2016-10-12,721014.0
2016-10-13,749462.0
2016-10-14,706494.0
2016-10-17,719966.0
2016-10-18,702018.0
2016-10-19,704662.0
2016-10-20,725560.0
2016-10-21,737456.0
2016-10-24,738826.0
2016-10-25,716036.0
2016-10-26,707078.0
2016-10-27,782936.0
2016-10-28,743958.0
2016-10-31,779994.0
2016-11-01,811154.0
2016-11-02,809020.0
2016-11-03,818324.0
2016-11-04,808278.0
2016-11-07,770510.0
2016-11-08,763862.0
2016-11-09,796238.0
2016-11-10,807414.0
2016-11-11,862456.0
2016-11-14,741296.0
2016-11-15,673932.0
2016-11-16,759810.0
2016-11-17,779424.0
2016-11-18,747708.0
2016-11-21,870452.0
2016-11-22,846946.0
2016-11-23,872338.0
2016-11-24,814090.0
2016-11-25,810644.0
2016-11-28,934482.0
2016-11-29,926980.0
2016-11-30,832432.0
2016-12-01,854812.0
2016-12-02,861932.0
2016-12-05,902380.0
2016-12-06,885628.0
2016-12-07,904918.0
2016-12-08,867166.0
2016-12-09,851286.0
2016-12-12,831160.0
2016-12-13,881524.0
2016-12-14,827360.0
2016-12-15,830458.0
2016-12-16,828178.0
2016-12-19,827858.0
2016-12-20,797610.0
2016-12-21,805936.0
2016-12-22,812912.0
2016-12-23,799664.0
2016-12-26,800384.0
2016-12-27,744438.0
2016-12-28,702826.0
2016-12-29,681072.0
2016-12-30,667492.0
2017-01-03,730254.0
2017-01-04,748704.0
2017-01-05,746414.0
2017-01-06,756506.0
2017-01-09,817452.0
2017-01-10,864774.0
2017-01-11,852202.0
2017-01-12,820206.0
2017-01-13,861518.0
2017-01-16,878382.0
2017-01-17,882430.0
2017-01-18,895480.0
2017-01-19,952662.0
2017-01-20,909062.0
2017-01-23,963570.0
2017-01-24,976288.0
2017-01-25,938554.0
2017-01-26,816872.0
2017-02-03,852132.0
2017-02-06,1096214.0
2017-02-07,1139308.0
2017-02-08,1214428.0
2017-02-09,1163668.0
2017-02-10,1245340.0
2017-02-13,1223028.0
2017-02-14,1228470.0
2017-02-15,1247024.0
2017-02-16,1248624.0
2017-02-17,1217450.0
2017-02-20,1187852.0
2017-02-21,1184434.0
2017-02-22,1190892.0
2017-02-23,1165416.0
2017-02-24,1162802.0
2017-02-27,1165758.0
2017-02-28,1176850.0
2017-03-01,1188654.0
2017-03-02,1184016.0
2017-03-03,1193998.0
2017-03-06,1280972.0
2017-03-07,1268056.0
2017-03-08,1220024.0
2017-03-09,1180292.0
2017-03-10,1186104.0
2017-03-13,1147230.0
2017-03-14,1216552.0
2017-03-15,1096754.0
2017-03-16,1140464.0
2017-03-17,1146600.0
2017-03-20,1190136.0
2017-03-21,1216204.0
2017-03-22,1238226.0
2017-03-23,1254328.0
2017-03-24,1186474.0
2017-03-27,1208424.0
2017-03-28,1188402.0
2017-03-29,1210384.0
2017-03-30,1196066.0
2017-03-31,1175618.0
2017-04-05,1210090.0
2017-04-06,1275740.0
2017-04-07,1248984.0
2017-04-10,1222924.0
2017-04-11,1210710.0
2017-04-12,1265034.0
2017-04-13,1216008.0
2017-04-14,1189344.0
2017-04-17,1180924.0
2017-04-18,1199152.0
2017-04-19,1281188.0
2017-04-20,1324762.0
2017-04-21,1310774.0
2017-04-24,1398492.0
2017-04-25,1329726.0
2017-04-26,1333924.0
2017-04-27,1293514.0
2017-04-28,1270138.0
2017-05-02,1337314.0
2017-05-03,1326204.0
2017-05-04,1366440.0
2017-05-05,1370984.0
2017-05-08,1322978.0
2017-05-09,1287262.0
2017-05-10,1284748.0
2017-05-11,1304280.0
2017-05-12,1321522.0
2017-05-15,1302710.0
2017-05-16,1356008.0
2017-05-17,1300762.0
2017-05-18,1377958.0
2017-05-19,1366372.0
2017-05-22,1407472.0
2017-05-23,1409390.0
2017-05-24,1472620.0
2017-05-25,1425810.0
2017-05-26,1467902.0
2017-05-31,1422306.0
2017-06-01,1420946.0
2017-06-02,1447574.0
2017-06-05,1416878.0
2017-06-06,1409322.0
2017-06-07,1411234.0
2017-06-08,1394154.0
2017-06-09,1364424.0
2017-06-12,1371166.0
2017-06-13,1362092.0
2017-06-14,1324132.0
2017-06-15,1306262.0
2017-06-16,1297924.0
2017-06-19,1251350.0
2017-06-20,1221460.0
2017-06-21,1220536.0
2017-06-22,1259094.0
2017-06-23,1269234.0
2017-06-26,1245728.0
2017-06-27,1282494.0
2017-06-28,1303242.0
2017-06-29,1288274.0
2017-06-30,1353662.0
2017-07-03,1246656.0
2017-07-04,1166808.0
2017-07-05,1160880.0
2017-07-06,1161758.0
2017-07-07,1116606.0
2017-07-10,1192296.0
2017-07-11,1107906.0
2017-07-12,1090596.0
2017-07-13,1142828.0
2017-07-14,1078936.0
2017-07-17,1093302.0
2017-07-18,1078428.0
2017-07-19,1101332.0
2017-07-20,1077802.0
2017-07-21,1077342.0
2017-07-24,1013050.0
2017-07-25,985348.0
2017-07-26,987534.0
2017-07-27,969704.0
2017-07-28,924492.0
2017-07-31,913220.0
2017-08-01,905018.0
2017-08-02,919564.0
2017-08-03,959584.0
2017-08-04,985910.0
2017-08-07,998666.0
2017-08-08,949502.0
2017-08-09,953886.0
2017-08-10,954212.0
2017-08-11,999778.0
2017-08-14,1013108.0
2017-08-15,1036426.0
2017-08-16,1093606.0
2017-08-17,1075890.0
2017-08-18,1072146.0
2017-08-21,1098314.0
2017-08-22,1072998.0
2017-08-23,1088474.0
2017-08-24,1073002.0
2017-08-25,1072848.0
2017-08-28,1081114.0
2017-08-29,1091164.0
2017-08-30,1113210.0
2017-08-31,1105916.0
2017-09-01,1119454.0
2017-09-04,1113208.0
