trading_date,SR_total_oi
2015-09-01,860526.0
2015-09-02,862072.0
2015-09-07,873890.0
2015-09-08,908570.0
2015-09-09,929920.0
2015-09-10,1041266.0
2015-09-11,1022268.0
2015-09-14,1051748.0
2015-09-15,1056050.0
2015-09-16,1070596.0
2015-09-17,1071164.0
2015-09-18,1051142.0
2015-09-21,1078336.0
2015-09-22,1144168.0
2015-09-23,1172160.0
2015-09-24,1198234.0
2015-09-25,1146638.0
2015-09-28,1153042.0
2015-09-29,1065476.0
2015-09-30,1039200.0
2015-10-08,1019488.0
2015-10-09,1035974.0
2015-10-12,1038484.0
2015-10-13,1071516.0
2015-10-14,1110582.0
2015-10-15,1099338.0
2015-10-16,1097062.0
2015-10-19,1101440.0
2015-10-20,1158244.0
2015-10-21,1227076.0
2015-10-22,1231988.0
2015-10-23,1184204.0
2015-10-26,1194794.0
2015-10-27,1165544.0
2015-10-28,1193254.0
2015-10-29,1228636.0
2015-10-30,1204996.0
2015-11-02,1218570.0
2015-11-03,1194438.0
2015-11-04,1223520.0
2015-11-05,1191988.0
2015-11-06,1245924.0
2015-11-09,1257232.0
2015-11-10,1331848.0
2015-11-11,1356590.0
2015-11-12,1396760.0
2015-11-13,1409296.0
2015-11-16,1389530.0
2015-11-17,1411282.0
2015-11-18,1478200.0
2015-11-19,1525614.0
2015-11-20,1515544.0
2015-11-23,1501410.0
2015-11-24,1517438.0
2015-11-25,1491734.0
2015-11-26,1470664.0
2015-11-27,1475994.0
2015-11-30,1478636.0
2015-12-01,1490560.0
2015-12-02,1536702.0
2015-12-03,1523368.0
2015-12-04,1463918.0
2015-12-07,1458952.0
2015-12-08,1393008.0
2015-12-09,1378980.0
2015-12-10,1368164.0
2015-12-11,1388000.0
2015-12-14,1394008.0
2015-12-15,1369546.0
2015-12-16,1359126.0
2015-12-17,1354846.0
2015-12-18,1357448.0
2015-12-21,1506892.0
2015-12-22,1502526.0
2015-12-23,1417972.0
2015-12-24,1418890.0
2015-12-25,1435190.0
2015-12-28,1427166.0
2015-12-29,1448016.0
2015-12-30,1465592.0
2015-12-31,1446118.0
2016-01-04,1427844.0
2016-01-05,1447354.0
2016-01-06,1412176.0
2016-01-07,1394916.0
2016-01-08,1414882.0
2016-01-11,1422136.0
2016-01-12,1411582.0
2016-01-13,1404462.0
2016-01-14,1429210.0
2016-01-15,1444436.0
2016-01-18,1404536.0
2016-01-19,1450352.0
2016-01-20,1437124.0
2016-01-21,1431814.0
2016-01-22,1403730.0
2016-01-25,1480464.0
2016-01-26,1480376.0
2016-01-27,1393322.0
2016-01-28,1400144.0
2016-01-29,1449774.0
2016-02-01,1467210.0
2016-02-02,1445458.0
2016-02-03,1402598.0
2016-02-04,1282142.0
2016-02-05,1225572.0
2016-02-15,1243828.0
2016-02-16,1421268.0
2016-02-17,1534984.0
2016-02-18,1523386.0
2016-02-19,1449776.0
2016-02-22,1448402.0
2016-02-23,1453838.0
2016-02-24,1456920.0
2016-02-25,1435104.0
2016-02-26,1452468.0
2016-02-29,1433008.0
2016-03-01,1438388.0
2016-03-02,1422262.0
2016-03-03,1471296.0
2016-03-04,1488014.0
2016-03-07,1556438.0
2016-03-08,1549146.0
2016-03-09,1538586.0
2016-03-10,1550808.0
2016-03-11,1533078.0
2016-03-14,1517804.0
2016-03-15,1497442.0
2016-03-16,1478748.0
2016-03-17,1518936.0
2016-03-18,1418866.0
2016-03-21,1446186.0
2016-03-22,1443998.0
2016-03-23,1402724.0
2016-03-24,1368156.0
2016-03-25,1404336.0
2016-03-28,1386574.0
2016-03-29,1353084.0
2016-03-30,1354046.0
2016-03-31,1317194.0
2016-04-01,1375134.0
2016-04-05,1452742.0
2016-04-06,1412378.0
2016-04-07,1432870.0
2016-04-08,1414940.0
2016-04-11,1406620.0
2016-04-12,1384832.0
2016-04-13,1420914.0
2016-04-14,1429506.0
2016-04-15,1424842.0
2016-04-18,1547976.0
2016-04-19,1510068.0
2016-04-20,1459436.0
2016-04-21,1430132.0
2016-04-22,1275426.0
2016-04-25,1254154.0
2016-04-26,1213298.0
2016-04-27,1212250.0
2016-04-28,1195720.0
2016-04-29,1152298.0
2016-05-03,1114092.0
2016-05-04,1099512.0
2016-05-05,1092162.0
2016-05-06,1058978.0
2016-05-09,1052904.0
2016-05-10,1057734.0
2016-05-11,1067664.0
2016-05-12,1115954.0
2016-05-13,1074996.0
2016-05-16,1050684.0
2016-05-17,1052080.0
2016-05-18,1121588.0
2016-05-19,1107530.0
2016-05-20,1148274.0
2016-05-23,1147734.0
2016-05-24,1129332.0
2016-05-25,1141206.0
2016-05-26,1079712.0
2016-05-27,1052832.0
2016-05-30,1059714.0
2016-05-31,1064744.0
2016-06-01,1043728.0
2016-06-02,1029618.0
2016-06-03,1152272.0
2016-06-06,1234286.0
2016-06-07,1193680.0
2016-06-08,1168154.0
2016-06-13,1212774.0
2016-06-14,1218178.0
2016-06-15,1207176.0
2016-06-16,1249858.0
2016-06-17,1286740.0
2016-06-20,1336446.0
2016-06-21,1311520.0
2016-06-22,1290552.0
2016-06-23,1263364.0
2016-06-24,1210162.0
2016-06-27,1199138.0
2016-06-28,1232124.0
2016-06-29,1210296.0
2016-06-30,1339996.0
2016-07-01,1228580.0
2016-07-04,1317888.0
2016-07-05,1255560.0
2016-07-06,1235134.0
2016-07-07,1217470.0
2016-07-08,1189452.0
2016-07-11,1172742.0
2016-07-12,1131892.0
2016-07-13,1140868.0
2016-07-14,1126264.0
2016-07-15,1127844.0
2016-07-18,1124398.0
2016-07-19,1163842.0
2016-07-20,1138248.0
2016-07-21,1122152.0
2016-07-22,1140232.0
2016-07-25,1122452.0
2016-07-26,1120466.0
2016-07-27,1111000.0
2016-07-28,1124626.0
2016-07-29,1086584.0
2016-08-01,1053644.0
2016-08-02,1048332.0
2016-08-03,1036706.0
2016-08-04,1054188.0
2016-08-05,1048860.0
2016-08-08,1002852.0
2016-08-09,975862.0
2016-08-10,963396.0
2016-08-11,987144.0
2016-08-12,978252.0
2016-08-15,929906.0
2016-08-16,925820.0
2016-08-17,903124.0
2016-08-18,883804.0
2016-08-19,916362.0
2016-08-22,919546.0
2016-08-23,954940.0
2016-08-24,931184.0
2016-08-25,853370.0
2016-08-26,855056.0
2016-08-29,877808.0
2016-08-30,894776.0
2016-08-31,864790.0
2016-09-01,884450.0
2016-09-02,883602.0
2016-09-05,875294.0
2016-09-06,866728.0
2016-09-07,893568.0
2016-09-08,874720.0
2016-09-09,874510.0
2016-09-12,881116.0
2016-09-13,954646.0
2016-09-14,891732.0
2016-09-19,901968.0
2016-09-20,901824.0
2016-09-21,908050.0
2016-09-22,958566.0
2016-09-23,994746.0
2016-09-26,1081370.0
2016-09-27,1119044.0
2016-09-28,1127372.0
2016-09-29,1073850.0
2016-09-30,1035222.0
2016-10-10,1050424.0
2016-10-11,1050466.0
2016-10-12,1088430.0
2016-10-13,1135032.0
2016-10-14,1128006.0
2016-10-17,1143058.0
2016-10-18,1134430.0
2016-10-19,1061816.0
2016-10-20,1056522.0
2016-10-21,1033100.0
2016-10-24,1133378.0
2016-10-25,1088850.0
2016-10-26,1057340.0
2016-10-27,1051328.0
2016-10-28,986332.0
2016-10-31,971758.0
2016-11-01,934300.0
2016-11-02,924650.0
2016-11-03,934950.0
2016-11-04,899338.0
2016-11-07,886450.0
2016-11-08,858600.0
2016-11-09,854352.0
2016-11-10,861832.0
2016-11-11,878498.0
2016-11-14,817822.0
2016-11-15,802112.0
2016-11-16,772000.0
2016-11-17,775240.0
2016-11-18,767042.0
2016-11-21,775054.0
2016-11-22,780190.0
2016-11-23,772912.0
2016-11-24,843986.0
2016-11-25,835850.0
2016-11-28,881634.0
2016-11-29,791332.0
2016-11-30,783214.0
2016-12-01,762644.0
2016-12-02,723520.0
2016-12-05,706558.0
2016-12-06,702566.0
2016-12-07,735886.0
2016-12-08,741324.0
2016-12-09,711638.0
2016-12-12,734080.0
2016-12-13,710888.0
2016-12-14,670860.0
2016-12-15,662556.0
2016-12-16,655708.0
2016-12-19,625808.0
2016-12-20,597840.0
2016-12-21,589526.0
2016-12-22,584672.0
2016-12-23,587162.0
2016-12-26,584354.0
2016-12-27,570484.0
2016-12-28,573666.0
2016-12-29,565648.0
2016-12-30,545182.0
2017-01-03,552994.0
2017-01-04,537228.0
2017-01-05,554634.0
2017-01-06,563828.0
2017-01-09,562800.0
2017-01-10,541072.0
2017-01-11,553224.0
2017-01-12,555748.0
2017-01-13,563034.0
2017-01-16,464062.0
2017-01-17,471594.0
2017-01-18,455150.0
2017-01-19,544482.0
2017-01-20,469488.0
2017-01-23,471274.0
2017-01-24,480216.0
2017-01-25,467582.0
2017-01-26,454966.0
2017-02-03,452640.0
2017-02-06,505866.0
2017-02-07,516442.0
2017-02-08,518318.0
2017-02-09,543218.0
2017-02-10,549506.0
2017-02-13,570312.0
2017-02-14,571408.0
2017-02-15,622562.0
2017-02-16,623010.0
2017-02-17,628668.0
2017-02-20,632018.0
2017-02-21,624480.0
2017-02-22,606032.0
2017-02-23,618666.0
2017-02-24,672260.0
2017-02-27,705640.0
2017-02-28,730304.0
2017-03-01,713352.0
2017-03-02,711936.0
2017-03-03,748172.0
2017-03-06,724462.0
2017-03-07,730028.0
2017-03-08,759308.0
2017-03-09,757044.0
2017-03-10,814332.0
2017-03-13,798760.0
2017-03-14,778272.0
2017-03-15,779552.0
2017-03-16,814402.0
2017-03-17,824084.0
2017-03-20,858454.0
2017-03-21,865396.0
2017-03-22,912434.0
2017-03-23,918470.0
2017-03-24,920922.0
2017-03-27,938800.0
2017-03-28,961712.0
2017-03-29,955698.0
2017-03-30,989584.0
2017-03-31,980330.0
2017-04-05,1003958.0
2017-04-06,1043292.0
2017-04-07,1030574.0
2017-04-10,1064524.0
