trading_date,RB_total_oi
2015-02-13,2373596.0
2015-02-16,2444802.0
2015-02-17,2428726.0
2015-02-25,2359318.0
2015-02-26,2508448.0
2015-02-27,2645520.0
2015-03-02,2954604.0
2015-03-03,2847816.0
2015-03-04,2877216.0
2015-03-05,3010234.0
2015-03-06,3089820.0
2015-03-09,3102770.0
2015-03-10,3176774.0
2015-03-11,3045112.0
2015-03-12,2936926.0
2015-03-13,2928898.0
2015-03-16,3043740.0
2015-03-17,2943238.0
2015-03-18,2780374.0
2015-03-19,2732976.0
2015-03-20,2720904.0
2015-03-23,2749686.0
2015-03-24,2830048.0
2015-03-25,2762200.0
2015-03-26,2740138.0
2015-03-27,2701080.0
2015-03-30,2716306.0
2015-03-31,2934916.0
2015-04-01,3205704.0
2015-04-02,3448626.0
2015-04-03,3541514.0
2015-04-07,4028684.0
2015-04-08,4013974.0
2015-04-09,4065884.0
2015-04-10,4166848.0
2015-04-13,4165352.0
2015-04-14,4054374.0
2015-04-15,4114436.0
2015-04-16,3964324.0
2015-04-17,3909322.0
2015-04-20,4170244.0
2015-04-21,4264128.0
2015-04-22,4197882.0
2015-04-23,3925660.0
2015-04-24,3687936.0
2015-04-27,3614160.0
2015-04-28,3512012.0
2015-04-29,3496426.0
2015-04-30,3329008.0
2015-05-04,3335774.0
2015-05-05,3310054.0
2015-05-06,3201558.0
2015-05-07,3197796.0
2015-05-08,3115140.0
2015-05-11,3141724.0
2015-05-12,3184952.0
2015-05-13,3182716.0
2015-05-14,3265086.0
2015-05-15,3274076.0
2015-05-18,3343048.0
2015-05-19,3309436.0
2015-05-20,3208470.0
2015-05-21,3209392.0
2015-05-22,3152142.0
2015-05-25,3211608.0
2015-05-26,3142796.0
2015-05-27,3148254.0
2015-05-28,3062658.0
2015-05-29,2951626.0
2015-06-01,2951746.0
2015-06-02,2898680.0
2015-06-03,2934388.0
2015-06-04,2872936.0
2015-06-05,2907502.0
2015-06-08,2940854.0
2015-06-09,2911234.0
2015-06-10,3036054.0
2015-06-11,3062734.0
2015-06-12,3399886.0
2015-06-15,3541374.0
2015-06-16,3792002.0
2015-06-17,3867120.0
2015-06-18,3840488.0
2015-06-19,3710100.0
2015-06-23,3787018.0
2015-06-24,3909366.0
2015-06-25,3983250.0
2015-06-26,3925296.0
2015-06-29,3914932.0
2015-06-30,3466158.0
2015-07-01,3580144.0
2015-07-02,3474678.0
2015-07-03,3513842.0
2015-07-06,3780522.0
2015-07-07,3519026.0
2015-07-08,3072010.0
2015-07-09,2836100.0
2015-07-10,2946252.0
2015-07-13,2915764.0
2015-07-14,2962084.0
2015-07-15,3004102.0
2015-07-16,3004632.0
2015-07-17,2999844.0
2015-07-20,3184302.0
2015-07-21,3242334.0
2015-07-22,3295192.0
2015-07-23,3276482.0
2015-07-24,3253436.0
2015-07-27,3205404.0
2015-07-28,3181342.0
2015-07-29,3254096.0
2015-07-30,3224612.0
2015-07-31,3269426.0
2015-08-03,3327270.0
2015-08-04,3191814.0
2015-08-05,3155046.0
2015-08-06,3289452.0
2015-08-07,3383804.0
2015-08-10,3328072.0
2015-08-11,3304818.0
2015-08-12,3189602.0
2015-08-13,3093900.0
2015-08-14,3084622.0
2015-08-17,3205606.0
2015-08-18,3165064.0
2015-08-19,3036392.0
2015-08-20,3146304.0
2015-08-21,3170344.0
2015-08-24,3187814.0
2015-08-25,2856302.0
2015-08-26,2897388.0
2015-08-27,2834854.0
2015-08-28,3079104.0
2015-08-31,3125292.0
2015-09-01,3117886.0
2015-09-02,2982782.0
2015-09-07,3217782.0
2015-09-08,3149528.0
2015-09-09,3140300.0
2015-09-10,3178986.0
2015-09-11,3254686.0
2015-09-14,3318998.0
2015-09-15,3412610.0
2015-09-16,3294866.0
2015-09-17,3368958.0
2015-09-18,3384542.0
2015-09-21,3546532.0
2015-09-22,3674534.0
2015-09-23,3510512.0
2015-09-24,3522526.0
2015-09-25,3460912.0
2015-09-28,3620206.0
2015-09-29,3356724.0
2015-09-30,3381110.0
2015-10-08,3365902.0
2015-10-09,3317046.0
2015-10-12,3347116.0
2015-10-13,3462060.0
2015-10-14,3603608.0
2015-10-15,3608138.0
2015-10-16,3636366.0
2015-10-19,3893436.0
2015-10-20,3893850.0
2015-10-21,3995282.0
2015-10-22,3936342.0
2015-10-23,3863038.0
2015-10-26,3897258.0
2015-10-27,3938148.0
2015-10-28,3807588.0
2015-10-29,3749690.0
2015-10-30,3834824.0
2015-11-02,3691172.0
2015-11-03,3729234.0
2015-11-04,3802920.0
2015-11-05,3720668.0
2015-11-06,3743224.0
2015-11-09,3760394.0
2015-11-10,3691300.0
2015-11-11,3803600.0
2015-11-12,3976132.0
2015-11-13,3923942.0
2015-11-16,3834790.0
2015-11-17,3760726.0
2015-11-18,3906252.0
2015-11-19,3959708.0
2015-11-20,3989514.0
2015-11-23,3896314.0
2015-11-24,3868976.0
2015-11-25,4004706.0
2015-11-26,3964572.0
2015-11-27,4031044.0
2015-11-30,4039106.0
2015-12-01,4135242.0
2015-12-02,4148120.0
2015-12-03,4076542.0
2015-12-04,4053428.0
2015-12-07,4119008.0
2015-12-08,3842334.0
2015-12-09,3951356.0
2015-12-10,3911290.0
2015-12-11,3966734.0
2015-12-14,4002916.0
2015-12-15,3999710.0
2015-12-16,3927158.0
2015-12-17,4007654.0
2015-12-18,4102392.0
2015-12-21,4282446.0
2015-12-22,4398378.0
2015-12-23,4295114.0
2015-12-24,4163990.0
2015-12-25,4165288.0
2015-12-28,4104556.0
2015-12-29,4020628.0
2015-12-30,3880760.0
2015-12-31,3791154.0
2016-01-04,3586606.0
2016-01-05,3693912.0
2016-01-06,3628536.0
2016-01-07,3594500.0
2016-01-08,3407424.0
2016-01-11,3353664.0
2016-01-12,3425412.0
2016-01-13,3302586.0
2016-01-14,3359488.0
2016-01-15,3677178.0
2016-01-18,3919586.0
2016-01-19,3933018.0
2016-01-20,3819228.0
2016-01-21,3884926.0
2016-01-22,4224170.0
2016-01-25,4357980.0
2016-01-26,4341224.0
2016-01-27,4430642.0
2016-01-28,4084130.0
2016-01-29,3925820.0
2016-02-01,3685460.0
2016-02-02,3263444.0
2016-02-03,3064700.0
2016-02-04,2988640.0
2016-02-05,2846758.0
2016-02-15,3101820.0
2016-02-16,3231168.0
2016-02-17,3211774.0
2016-02-18,3301696.0
2016-02-19,3458636.0
2016-02-22,3750888.0
2016-02-23,3564150.0
2016-02-24,3570778.0
2016-02-25,3654434.0
2016-02-26,3571738.0
2016-02-29,3782018.0
2016-03-01,3842222.0
2016-03-02,3699206.0
2016-03-03,3602362.0
2016-03-04,3453314.0
2016-03-07,3417488.0
2016-03-08,3165764.0
2016-03-09,2696410.0
2016-03-10,3184752.0
2016-03-11,3131914.0
2016-03-14,3288170.0
2016-03-15,3287352.0
2016-03-16,3508612.0
2016-03-17,3613926.0
2016-03-18,3767514.0
2016-03-21,3987452.0
2016-03-22,3892916.0
2016-03-23,3892434.0
2016-03-24,3756714.0
2016-03-25,4004130.0
2016-03-28,4006784.0
2016-03-29,4070214.0
2016-03-30,4087014.0
2016-03-31,3830334.0
2016-04-01,3820934.0
2016-04-05,4088568.0
2016-04-06,4331782.0
2016-04-07,4455722.0
2016-04-08,4433672.0
2016-04-11,5068162.0
2016-04-12,5102980.0
2016-04-13,4845092.0
2016-04-14,4712756.0
2016-04-15,4360596.0
2016-04-18,4350798.0
2016-04-19,4070204.0
2016-04-20,3841566.0
2016-04-21,3295218.0
2016-04-22,3133232.0
2016-04-25,3251714.0
2016-04-26,3392588.0
2016-04-27,3347862.0
2016-04-28,3351782.0
2016-04-29,3141142.0
2016-05-03,3168130.0
2016-05-04,3408962.0
2016-05-05,3519912.0
2016-05-06,3593964.0
2016-05-09,3856924.0
2016-05-10,3545698.0
2016-05-11,3623184.0
2016-05-12,3955626.0
2016-05-13,4165182.0
2016-05-16,4106936.0
2016-05-17,3871200.0
2016-05-18,3652088.0
2016-05-19,3739300.0
2016-05-20,3793518.0
2016-05-23,3712496.0
2016-05-24,3734176.0
2016-05-25,3827222.0
2016-05-26,3825656.0
2016-05-27,3692622.0
2016-05-30,3634952.0
2016-05-31,3753298.0
2016-06-01,3782818.0
2016-06-02,3889496.0
2016-06-03,3831698.0
2016-06-06,3807234.0
2016-06-07,3572974.0
2016-06-08,3285944.0
2016-06-13,3378686.0
2016-06-14,3215450.0
2016-06-15,3219732.0
2016-06-16,3227168.0
2016-06-17,3128568.0
2016-06-20,3139140.0
2016-06-21,3253308.0
2016-06-22,3372226.0
2016-06-23,3428988.0
2016-06-24,3358892.0
2016-06-27,3526638.0
2016-06-28,3398012.0
2016-06-29,3317842.0
2016-06-30,3236720.0
2016-07-01,3033644.0
2016-07-04,2802732.0
2016-07-05,2658152.0
2016-07-06,2721108.0
2016-07-07,2841432.0
2016-07-08,3225260.0
2016-07-11,3123226.0
2016-07-12,3527088.0
2016-07-13,3447522.0
2016-07-14,3464468.0
2016-07-15,3437752.0
2016-07-18,3493986.0
2016-07-19,3261610.0
2016-07-20,3245918.0
2016-07-21,3213752.0
2016-07-22,3133454.0
2016-07-25,3098558.0
2016-07-26,3166336.0
2016-07-27,2979402.0
2016-07-28,3051654.0
2016-07-29,3014392.0
2016-08-01,2923464.0
2016-08-02,3036794.0
2016-08-03,3050606.0
2016-08-04,3138020.0
2016-08-05,3111622.0
2016-08-08,3311426.0
2016-08-09,3205890.0
2016-08-10,3244846.0
2016-08-11,3388868.0
2016-08-12,3311222.0
2016-08-15,3361608.0
2016-08-16,3555238.0
2016-08-17,3542794.0
2016-08-18,3585440.0
2016-08-19,3585488.0
2016-08-22,3641614.0
2016-08-23,3773532.0
2016-08-24,3700106.0
2016-08-25,3658996.0
2016-08-26,3568418.0
2016-08-29,3513672.0
2016-08-30,3700264.0
2016-08-31,3600024.0
2016-09-01,3588702.0
2016-09-02,3461978.0
2016-09-05,3505942.0
2016-09-06,3604054.0
2016-09-07,3883636.0
2016-09-08,3901270.0
2016-09-09,3860374.0
2016-09-12,3830974.0
2016-09-13,3903058.0
2016-09-14,3897716.0
2016-09-19,4037058.0
2016-09-20,3978802.0
2016-09-21,4003754.0
2016-09-22,3766392.0
2016-09-23,3646508.0
2016-09-26,3585100.0
2016-09-27,3636738.0
2016-09-28,3617666.0
2016-09-29,3309958.0
2016-09-30,3176552.0
2016-10-10,3245694.0
2016-10-11,3397458.0
2016-10-12,3431810.0
2016-10-13,3354886.0
2016-10-14,3374050.0
2016-10-17,3324884.0
2016-10-18,3345988.0
2016-10-19,3280906.0
2016-10-20,3327466.0
2016-10-21,3292862.0
2016-10-24,3327068.0
2016-10-25,3333300.0
2016-10-26,3234402.0
2016-10-27,3095090.0
2016-10-28,3149288.0
2016-10-31,3083734.0
2016-11-01,3049956.0
2016-11-02,2970682.0
2016-11-03,3249526.0
2016-11-04,3105152.0
2016-11-07,3116134.0
2016-11-08,2833696.0
2016-11-09,2835734.0
2016-11-10,2690098.0
2016-11-11,2733956.0
2016-11-14,2324294.0
2016-11-15,2388540.0
2016-11-16,2334660.0
2016-11-17,2390290.0
2016-11-18,2441010.0
2016-11-21,2448720.0
2016-11-22,2384554.0
2016-11-23,2449258.0
2016-11-24,2225282.0
2016-11-25,2412368.0
2016-11-28,2310620.0
2016-11-29,2126892.0
2016-11-30,1879802.0
2016-12-01,2111658.0
2016-12-02,2076470.0
2016-12-05,2154816.0
2016-12-06,2177356.0
2016-12-07,2445814.0
2016-12-08,2463288.0
2016-12-09,2500354.0
2016-12-12,2472698.0
2016-12-13,2647114.0
2016-12-14,2601522.0
2016-12-15,2587274.0
2016-12-16,2584112.0
2016-12-19,2581278.0
2016-12-20,2414392.0
2016-12-21,2478566.0
2016-12-22,2593130.0
2016-12-23,2635590.0
2016-12-26,2736248.0
2016-12-27,2581478.0
2016-12-28,2623390.0
2016-12-29,2695280.0
2016-12-30,2669984.0
2017-01-03,2752450.0
2017-01-04,2774120.0
2017-01-05,2735304.0
2017-01-06,2750130.0
2017-01-09,2737000.0
2017-01-10,2830158.0
2017-01-11,2723654.0
2017-01-12,2946538.0
2017-01-13,2847550.0
2017-01-16,2942622.0
2017-01-17,2789950.0
2017-01-18,2770112.0
2017-01-19,2781082.0
2017-01-20,2761780.0
2017-01-23,2601002.0
2017-01-24,2737946.0
2017-01-25,2537652.0
2017-01-26,2537348.0
2017-02-03,2546998.0
2017-02-06,2777866.0
2017-02-07,2829322.0
2017-02-08,2950514.0
2017-02-09,2949588.0
2017-02-10,3223478.0
2017-02-13,3244640.0
2017-02-14,3217610.0
2017-02-15,3381946.0
2017-02-16,3355886.0
2017-02-17,3413766.0
2017-02-20,3843012.0
2017-02-21,3717076.0
2017-02-22,3603906.0
2017-02-23,3516582.0
2017-02-24,3571868.0
2017-02-27,3741440.0
2017-02-28,3603968.0
2017-03-01,3637802.0
2017-03-02,3626370.0
2017-03-03,3897090.0
2017-03-06,3793324.0
2017-03-07,3761852.0
2017-03-08,3996056.0
2017-03-09,3880562.0
2017-03-10,3850744.0
2017-03-13,3997646.0
2017-03-14,3821174.0
2017-03-15,3760330.0
2017-03-16,3730014.0
2017-03-17,3591334.0
2017-03-20,3588270.0
2017-03-21,3425282.0
2017-03-22,3567338.0
2017-03-23,3545626.0
2017-03-24,3584750.0
2017-03-27,3504710.0
2017-03-28,3484510.0
2017-03-29,3498752.0
2017-03-30,3464560.0
2017-03-31,3457060.0
2017-04-05,3341520.0
2017-04-06,3454382.0
2017-04-07,3546596.0
2017-04-10,3571252.0
2017-04-11,3579412.0
2017-04-12,3625686.0
2017-04-13,3521170.0
2017-04-14,3448246.0
2017-04-17,3389736.0
2017-04-18,3531248.0
2017-04-19,3413932.0
2017-04-20,3304910.0
2017-04-21,3226558.0
2017-04-24,3253026.0
2017-04-25,3399204.0
2017-04-26,3512984.0
2017-04-27,3599452.0
2017-04-28,3718240.0
2017-05-02,3798754.0
2017-05-03,4081532.0
2017-05-04,3792324.0
2017-05-05,3853846.0
2017-05-08,4083222.0
2017-05-09,4210168.0
2017-05-10,4290226.0
2017-05-11,4192266.0
2017-05-12,4447818.0
2017-05-15,4297966.0
2017-05-16,4316372.0
2017-05-17,4544322.0
2017-05-18,4791458.0
2017-05-19,4856886.0
2017-05-22,5015146.0
2017-05-23,4942008.0
2017-05-24,4881266.0
2017-05-25,4702842.0
2017-05-26,4604538.0
2017-05-31,4612704.0
2017-06-01,4788120.0
2017-06-02,4907328.0
2017-06-05,5091636.0
2017-06-06,4930200.0
2017-06-07,5064218.0
2017-06-08,4911862.0
2017-06-09,4933730.0
2017-06-12,4947290.0
2017-06-13,5174604.0
2017-06-14,4931816.0
2017-06-15,5013430.0
2017-06-16,4776582.0
2017-06-19,4776366.0
2017-06-20,4824690.0
2017-06-21,4788632.0
2017-06-22,4767424.0
2017-06-23,4745158.0
2017-06-26,4816578.0
2017-06-27,4976582.0
2017-06-28,5143630.0
2017-06-29,5181526.0
2017-06-30,5461184.0
2017-07-03,5633338.0
2017-07-04,5442482.0
2017-07-05,5420860.0
2017-07-06,5424506.0
2017-07-07,5475262.0
2017-07-10,5616192.0
2017-07-11,5726990.0
2017-07-12,5738264.0
2017-07-13,5928018.0
2017-07-14,5490042.0
2017-07-17,5529134.0
2017-07-18,5489280.0
2017-07-19,5492264.0
2017-07-20,5122440.0
2017-07-21,4966724.0
2017-07-24,5093298.0
2017-07-25,5025658.0
2017-07-26,4879106.0
2017-07-27,4956798.0
2017-07-28,4829842.0
2017-07-31,4785014.0
2017-08-01,4614910.0
2017-08-02,4794528.0
2017-08-03,5070698.0
2017-08-04,4946066.0
2017-08-07,4485214.0
2017-08-08,4331204.0
2017-08-09,4470386.0
2017-08-10,4382912.0
2017-08-11,4319564.0
2017-08-14,4575064.0
2017-08-15,4609556.0
2017-08-16,4524052.0
2017-08-17,4366562.0
2017-08-18,4231718.0
2017-08-21,4296232.0
2017-08-22,4195628.0
2017-08-23,4402282.0
2017-08-24,4139282.0
2017-08-25,3943746.0
2017-08-28,4053410.0
2017-08-29,4140374.0
2017-08-30,4045088.0
2017-08-31,4383120.0
2017-09-01,4618786.0
2017-09-04,4402032.0
2017-09-05,4401552.0
2017-09-06,4418232.0
2017-09-07,4285888.0
2017-09-08,4229236.0
2017-09-11,4100088.0
2017-09-12,4123024.0
2017-09-13,4142224.0
2017-09-14,4392862.0
2017-09-15,4193564.0
2017-09-18,4249064.0
2017-09-19,4192440.0
2017-09-20,4159386.0
2017-09-21,4443506.0
2017-09-22,4317050.0
2017-09-25,4218686.0
2017-09-26,4103522.0
2017-09-27,4057836.0
2017-09-28,4024332.0
2017-09-29,3631106.0
2017-10-09,3585180.0
2017-10-10,4060984.0
2017-10-11,4077482.0
2017-10-12,4279592.0
2017-10-13,4174890.0
2017-10-16,4065414.0
2017-10-17,4113828.0
2017-10-18,3964976.0
2017-10-19,4135506.0
2017-10-20,4084084.0
2017-10-23,4092784.0
2017-10-24,4010112.0
2017-10-25,4047342.0
2017-10-26,4006090.0
2017-10-27,4112304.0
2017-10-30,4010926.0
2017-10-31,4161614.0
2017-11-01,4048290.0
2017-11-02,4110084.0
