trading_date,JM_total_oi
2015-06-09,190858.0
2015-06-10,197918.0
2015-06-11,193930.0
2015-06-12,178024.0
2015-06-15,180832.0
2015-06-16,177276.0
2015-06-17,165652.0
2015-06-18,157284.0
2015-06-19,140868.0
2015-06-23,130942.0
2015-06-24,123074.0
2015-06-25,123428.0
2015-06-26,115940.0
2015-06-29,113266.0
2015-06-30,113144.0
2015-07-01,114260.0
2015-07-02,107916.0
2015-07-03,102904.0
2015-07-06,104546.0
2015-07-07,106120.0
2015-07-08,97214.0
2015-07-09,84418.0
2015-07-10,85878.0
2015-07-13,91130.0
2015-07-14,106414.0
2015-07-15,99558.0
2015-07-16,95488.0
2015-07-17,96064.0
2015-07-20,90484.0
2015-07-21,95066.0
2015-07-22,103640.0
2015-07-23,99542.0
2015-07-24,99558.0
2015-07-27,94144.0
2015-07-28,90564.0
2015-07-29,85052.0
2015-07-30,85676.0
2015-07-31,84616.0
2015-08-03,84778.0
2015-08-04,81010.0
2015-08-05,81368.0
2015-08-06,83662.0
2015-08-07,84876.0
2015-08-10,88346.0
2015-08-11,84368.0
2015-08-12,86282.0
2015-08-13,85670.0
2015-08-14,82204.0
2015-08-17,81410.0
2015-08-18,81366.0
2015-08-19,78824.0
2015-08-20,81408.0
2015-08-21,80968.0
2015-08-24,79876.0
2015-08-25,80746.0
2015-08-26,102516.0
2015-08-27,94266.0
2015-08-28,94216.0
2015-08-31,86814.0
2015-09-01,84866.0
2015-09-02,79544.0
2015-09-07,77618.0
2015-09-08,77194.0
2015-09-09,71758.0
2015-09-10,73030.0
2015-09-11,70004.0
2015-09-14,73450.0
2015-09-15,69162.0
2015-09-16,80096.0
2015-09-17,73124.0
2015-09-18,77524.0
2015-09-21,94700.0
2015-09-22,87378.0
2015-09-23,81716.0
2015-09-24,79952.0
2015-09-25,80172.0
2015-09-28,88480.0
2015-09-29,85840.0
2015-09-30,81426.0
2015-10-08,80598.0
2015-10-09,75744.0
2015-10-12,89558.0
2015-10-13,100256.0
2015-10-14,107590.0
2015-10-15,104238.0
2015-10-16,99606.0
2015-10-19,95492.0
2015-10-20,98310.0
2015-10-21,101642.0
2015-10-22,106422.0
2015-10-23,96360.0
2015-10-26,100890.0
2015-10-27,105852.0
2015-10-28,148370.0
2015-10-29,149290.0
2015-10-30,144034.0
2015-11-02,162554.0
2015-11-03,156338.0
2015-11-04,154340.0
2015-11-05,152920.0
2015-11-06,144674.0
2015-11-09,152314.0
2015-11-10,148752.0
2015-11-11,154774.0
2015-11-12,162232.0
2015-11-13,159486.0
2015-11-16,163980.0
2015-11-17,182690.0
2015-11-18,191802.0
2015-11-19,248714.0
2015-11-20,205962.0
2015-11-23,222108.0
2015-11-24,224660.0
2015-11-25,206904.0
2015-11-26,179930.0
2015-11-27,177310.0
2015-11-30,186366.0
2015-12-01,186074.0
2015-12-02,201826.0
2015-12-03,200650.0
2015-12-04,197846.0
2015-12-07,211412.0
2015-12-08,220680.0
2015-12-09,242988.0
2015-12-10,236730.0
2015-12-11,220502.0
2015-12-14,221974.0
2015-12-15,217906.0
2015-12-16,221898.0
2015-12-17,233442.0
2015-12-18,242674.0
2015-12-21,234398.0
2015-12-22,233366.0
2015-12-23,236298.0
2015-12-24,242994.0
2015-12-25,242628.0
2015-12-28,241174.0
2015-12-29,254756.0
2015-12-30,241022.0
2015-12-31,230686.0
2016-01-04,224054.0
2016-01-05,225780.0
2016-01-06,217644.0
2016-01-07,207218.0
2016-01-08,213862.0
2016-01-11,216032.0
2016-01-12,206022.0
2016-01-13,182332.0
2016-01-14,167270.0
2016-01-15,161454.0
2016-01-18,159906.0
2016-01-19,160850.0
2016-01-20,158914.0
2016-01-21,164346.0
2016-01-22,175080.0
2016-01-25,172796.0
2016-01-26,172850.0
2016-01-27,165168.0
2016-01-28,146774.0
2016-01-29,147330.0
2016-02-01,149124.0
2016-02-02,145214.0
2016-02-03,150094.0
2016-02-04,145334.0
2016-02-05,131664.0
2016-02-15,134410.0
2016-02-16,140086.0
2016-02-17,143420.0
2016-02-18,142650.0
2016-02-19,158290.0
2016-02-22,172942.0
2016-02-23,189676.0
2016-02-24,206712.0
2016-02-25,208426.0
2016-02-26,203508.0
2016-02-29,205772.0
2016-03-01,202148.0
2016-03-02,192988.0
2016-03-03,187398.0
2016-03-04,187304.0
2016-03-07,178366.0
2016-03-08,185302.0
2016-03-09,176302.0
2016-03-10,175188.0
2016-03-11,171904.0
2016-03-14,168584.0
2016-03-15,163500.0
2016-03-16,161180.0
2016-03-17,169430.0
2016-03-18,158042.0
2016-03-21,162008.0
2016-03-22,162110.0
2016-03-23,148176.0
2016-03-24,143272.0
2016-03-25,140108.0
2016-03-28,151496.0
2016-03-29,155096.0
2016-03-30,140224.0
2016-03-31,184866.0
2016-04-01,194550.0
2016-04-05,201788.0
2016-04-06,188920.0
2016-04-07,201218.0
2016-04-08,219646.0
2016-04-11,229580.0
2016-04-12,243006.0
2016-04-13,244826.0
2016-04-14,272322.0
2016-04-15,242418.0
2016-04-18,242238.0
2016-04-19,285750.0
2016-04-20,292250.0
2016-04-21,278618.0
2016-04-22,257822.0
2016-04-25,321656.0
2016-04-26,378502.0
2016-04-27,371614.0
