trading_date,C_total_oi
2016-03-03,2050706.0
2016-03-04,1996760.0
2016-03-07,2248910.0
2016-03-08,2165320.0
2016-03-09,2251396.0
2016-03-10,2394610.0
2016-03-11,2334694.0
2016-03-14,2316988.0
2016-03-15,2347304.0
2016-03-16,2444614.0
2016-03-17,2408262.0
2016-03-18,2124934.0
2016-03-21,2078142.0
2016-03-22,2054768.0
2016-03-23,2284806.0
2016-03-24,2239248.0
2016-03-25,2323442.0
2016-03-28,2498870.0
2016-03-29,2492036.0
2016-03-30,2458568.0
2016-03-31,2461156.0
2016-04-01,2469718.0
2016-04-05,2442742.0
2016-04-06,2450960.0
2016-04-07,2458932.0
2016-04-08,2453858.0
2016-04-11,2504768.0
2016-04-12,2477712.0
2016-04-13,2418920.0
2016-04-14,2432656.0
2016-04-15,2423852.0
2016-04-18,2419168.0
2016-04-19,2386206.0
2016-04-20,2036466.0
2016-04-21,2062048.0
2016-04-22,1873330.0
2016-04-25,1780202.0
2016-04-26,1723486.0
2016-04-27,1729894.0
2016-04-28,1660030.0
2016-04-29,1678266.0
2016-05-03,1692654.0
2016-05-04,1641854.0
2016-05-05,1599324.0
2016-05-06,1512938.0
2016-05-09,1465050.0
2016-05-10,1443958.0
2016-05-11,1493300.0
2016-05-12,1459000.0
2016-05-13,1382302.0
2016-05-16,1359464.0
2016-05-17,1418486.0
2016-05-18,1403216.0
2016-05-19,1417674.0
2016-05-20,1425954.0
2016-05-23,1371176.0
2016-05-24,1302806.0
2016-05-25,1287690.0
2016-05-26,1297024.0
2016-05-27,1409866.0
2016-05-30,1571554.0
2016-05-31,1623258.0
2016-06-01,1573118.0
2016-06-02,1632096.0
2016-06-03,1560736.0
2016-06-06,1579346.0
2016-06-07,1605076.0
2016-06-08,1602464.0
2016-06-13,1750688.0
2016-06-14,1703888.0
2016-06-15,1709810.0
2016-06-16,1614088.0
2016-06-17,1593906.0
2016-06-20,1670760.0
2016-06-21,1674546.0
2016-06-22,1690682.0
2016-06-23,1710166.0
2016-06-24,1678928.0
2016-06-27,1832046.0
2016-06-28,1860310.0
2016-06-29,1872452.0
2016-06-30,1890936.0
2016-07-01,1965038.0
2016-07-04,2057402.0
2016-07-05,2128784.0
2016-07-06,2158446.0
2016-07-07,2197150.0
2016-07-08,2020544.0
2016-07-11,2035426.0
2016-07-12,2052738.0
2016-07-13,2115388.0
2016-07-14,2189290.0
2016-07-15,2260122.0
2016-07-18,2317496.0
2016-07-19,2393312.0
2016-07-20,2366756.0
2016-07-21,2380568.0
2016-07-22,2387632.0
2016-07-25,2431614.0
2016-07-26,2425156.0
2016-07-27,2466788.0
2016-07-28,2554912.0
2016-07-29,2538506.0
2016-08-01,2556092.0
2016-08-02,2584700.0
2016-08-03,2609698.0
2016-08-04,2574614.0
2016-08-05,2562504.0
2016-08-08,2648316.0
2016-08-09,2702718.0
2016-08-10,2698238.0
2016-08-11,2705186.0
2016-08-12,2657454.0
2016-08-15,2655436.0
2016-08-16,2649460.0
2016-08-17,2617160.0
2016-08-18,2694886.0
2016-08-19,2731348.0
2016-08-22,2710346.0
2016-08-23,2777424.0
2016-08-24,2813560.0
2016-08-25,2831746.0
2016-08-26,2859478.0
2016-08-29,2874502.0
2016-08-30,2859938.0
2016-08-31,2807242.0
2016-09-01,2845312.0
2016-09-02,2903068.0
2016-09-05,3072858.0
2016-09-06,3123790.0
2016-09-07,3090618.0
2016-09-08,3110034.0
2016-09-09,3081678.0
2016-09-12,3044752.0
2016-09-13,2927016.0
2016-09-14,2910962.0
2016-09-19,3053794.0
2016-09-20,3062296.0
2016-09-21,3137124.0
2016-09-22,3168018.0
2016-09-23,3229094.0
2016-09-26,3229776.0
2016-09-27,3229420.0
2016-09-28,3160874.0
2016-09-29,3123938.0
2016-09-30,3000206.0
2016-10-10,2838086.0
2016-10-11,2844904.0
2016-10-12,2871826.0
2016-10-13,2803062.0
2016-10-14,2825430.0
2016-10-17,2837512.0
2016-10-18,2863328.0
2016-10-19,2896272.0
2016-10-20,2902142.0
2016-10-21,2863462.0
2016-10-24,2874654.0
2016-10-25,2854856.0
2016-10-26,2946402.0
2016-10-27,2974430.0
2016-10-28,2931158.0
2016-10-31,2962486.0
2016-11-01,2906626.0
2016-11-02,2851938.0
2016-11-03,2837838.0
2016-11-04,2738976.0
2016-11-07,2743126.0
2016-11-08,2651600.0
2016-11-09,2574560.0
2016-11-10,2466478.0
2016-11-11,2370958.0
2016-11-14,2118488.0
2016-11-15,2048980.0
2016-11-16,2050706.0
2016-11-17,2060180.0
2016-11-18,2098052.0
2016-11-21,2156446.0
2016-11-22,2207384.0
2016-11-23,2250700.0
2016-11-24,2325886.0
2016-11-25,2323224.0
2016-11-28,2394152.0
2016-11-29,2385142.0
2016-11-30,2364306.0
2016-12-01,2390914.0
2016-12-02,2341950.0
2016-12-05,2326418.0
2016-12-06,2351158.0
2016-12-07,2378636.0
2016-12-08,2355328.0
2016-12-09,2358726.0
2016-12-12,2510682.0
2016-12-13,2513442.0
2016-12-14,2469304.0
2016-12-15,2490132.0
2016-12-16,2571544.0
2016-12-19,2598726.0
2016-12-20,2463746.0
2016-12-21,2478522.0
2016-12-22,2415282.0
2016-12-23,2281132.0
2016-12-26,2227346.0
2016-12-27,2206884.0
2016-12-28,2280322.0
2016-12-29,2333918.0
2016-12-30,2342082.0
2017-01-03,2438980.0
2017-01-04,2594982.0
2017-01-05,2622472.0
2017-01-06,2656074.0
2017-01-09,2732472.0
2017-01-10,2829374.0
2017-01-11,2946668.0
2017-01-12,2950250.0
2017-01-13,2939920.0
2017-01-16,2979320.0
2017-01-17,2963604.0
2017-01-18,3293552.0
2017-01-19,3406712.0
2017-01-20,3410796.0
2017-01-23,3444840.0
2017-01-24,3325292.0
2017-01-25,3197430.0
2017-01-26,3143092.0
2017-02-03,3241166.0
2017-02-06,4273070.0
2017-02-07,4658262.0
2017-02-08,4909612.0
2017-02-09,4935092.0
2017-02-10,4992656.0
2017-02-13,5083242.0
2017-02-14,5024622.0
2017-02-15,4972988.0
2017-02-16,4932558.0
2017-02-17,4793860.0
2017-02-20,4880540.0
2017-02-21,4670258.0
2017-02-22,4628636.0
2017-02-23,4585144.0
2017-02-24,4555072.0
2017-02-27,4603150.0
2017-02-28,4626602.0
2017-03-01,4687952.0
2017-03-02,4777864.0
2017-03-03,4780412.0
2017-03-06,4781048.0
2017-03-07,4641196.0
2017-03-08,4472062.0
2017-03-09,4346652.0
2017-03-10,4184684.0
2017-03-13,4147232.0
2017-03-14,4211988.0
2017-03-15,4252678.0
2017-03-16,4274952.0
2017-03-17,4237372.0
2017-03-20,4272482.0
2017-03-21,4336204.0
2017-03-22,4091830.0
2017-03-23,4006474.0
2017-03-24,4013122.0
2017-03-27,3779130.0
2017-03-28,3807854.0
2017-03-29,3709754.0
2017-03-30,3539676.0
2017-03-31,3430366.0
2017-04-05,3371242.0
2017-04-06,3219254.0
2017-04-07,2981422.0
2017-04-10,2933362.0
2017-04-11,2970706.0
2017-04-12,2834346.0
2017-04-13,2867568.0
2017-04-14,2800688.0
2017-04-17,2752934.0
2017-04-18,2705414.0
2017-04-19,2618418.0
2017-04-20,2566818.0
2017-04-21,2461176.0
2017-04-24,2465326.0
2017-04-25,2450958.0
2017-04-26,2418090.0
2017-04-27,2434554.0
2017-04-28,2372048.0
2017-05-02,2273088.0
2017-05-03,2217768.0
2017-05-04,2229382.0
2017-05-05,2237114.0
2017-05-08,2311026.0
2017-05-09,2330680.0
2017-05-10,2237708.0
2017-05-11,2161478.0
2017-05-12,2181908.0
2017-05-15,2227872.0
2017-05-16,2252634.0
2017-05-17,2227758.0
2017-05-18,2167314.0
2017-05-19,2162362.0
2017-05-22,2282122.0
2017-05-23,2280074.0
2017-05-24,2253838.0
2017-05-25,2253026.0
2017-05-26,2212124.0
2017-05-31,2195482.0
2017-06-01,2168210.0
2017-06-02,2133116.0
2017-06-05,2121062.0
2017-06-06,2077806.0
2017-06-07,2083364.0
2017-06-08,2075222.0
2017-06-09,2324608.0
2017-06-12,2431008.0
2017-06-13,2383888.0
2017-06-14,2426518.0
2017-06-15,2425618.0
2017-06-16,2409720.0
2017-06-19,2362196.0
2017-06-20,2311198.0
2017-06-21,2314224.0
2017-06-22,2258416.0
2017-06-23,2229266.0
2017-06-26,2226222.0
