trading_date,SM_total_oi
2018-03-05,134622.0
2018-03-06,142604.0
2018-03-07,144108.0
2018-03-08,139030.0
2018-03-09,149668.0
2018-03-12,153556.0
2018-03-13,151750.0
2018-03-14,154380.0
2018-03-15,147880.0
2018-03-16,147040.0
2018-03-19,152406.0
2018-03-20,170624.0
2018-03-21,151256.0
2018-03-22,154328.0
2018-03-23,177496.0
2018-03-26,173212.0
2018-03-27,187020.0
2018-03-28,184224.0
2018-03-29,178436.0
2018-03-30,177746.0
2018-04-02,160790.0
2018-04-03,155196.0
2018-04-04,163398.0
2018-04-09,154570.0
2018-04-10,144308.0
2018-04-11,142358.0
2018-04-12,133902.0
2018-04-13,144786.0
2018-04-16,112988.0
2018-04-17,120398.0
2018-04-18,110472.0
2018-04-19,110746.0
2018-04-20,98142.0
2018-04-23,92720.0
2018-04-24,98656.0
2018-04-25,87314.0
2018-04-26,99826.0
2018-04-27,85560.0
2018-05-02,85072.0
2018-05-03,83082.0
2018-05-04,83850.0
2018-05-07,103384.0
2018-05-08,91882.0
2018-05-09,96860.0
2018-05-10,96616.0
2018-05-11,102284.0
2018-05-14,113162.0
2018-05-15,103094.0
2018-05-16,119974.0
2018-05-17,101282.0
2018-05-18,110670.0
2018-05-21,111628.0
2018-05-22,119282.0
2018-05-23,119174.0
2018-05-24,107542.0
2018-05-25,113702.0
2018-05-28,101408.0
2018-05-29,115946.0
2018-05-30,107820.0
2018-05-31,113898.0
2018-06-01,126654.0
2018-06-04,119564.0
2018-06-05,116584.0
2018-06-06,111812.0
2018-06-07,115190.0
2018-06-08,162300.0
2018-06-11,159366.0
2018-06-12,159534.0
2018-06-13,157524.0
2018-06-14,177076.0
2018-06-15,164182.0
2018-06-19,171846.0
2018-06-20,179186.0
2018-06-21,201830.0
2018-06-22,182868.0
2018-06-25,202136.0
2018-06-26,226298.0
2018-06-27,212802.0
2018-06-28,213080.0
2018-06-29,210230.0
2018-07-02,197356.0
2018-07-03,190298.0
2018-07-04,179376.0
2018-07-05,168396.0
2018-07-06,172612.0
2018-07-09,162062.0
2018-07-10,164504.0
2018-07-11,148848.0
2018-07-12,175668.0
2018-07-13,155718.0
2018-07-16,150006.0
2018-07-17,153670.0
2018-07-18,147772.0
2018-07-19,149722.0
2018-07-20,146014.0
2018-07-23,137360.0
2018-07-24,162208.0
2018-07-25,145308.0
2018-07-26,150064.0
2018-07-27,138856.0
2018-07-30,139298.0
2018-07-31,150110.0
2018-08-01,128884.0
2018-08-02,139690.0
2018-08-03,152014.0
2018-08-06,161124.0
2018-08-07,154228.0
2018-08-08,165822.0
2018-08-09,149412.0
2018-08-10,164566.0
2018-08-13,161654.0
2018-08-14,154432.0
2018-08-15,157692.0
2018-08-16,175116.0
2018-08-17,212384.0
2018-08-20,200740.0
2018-08-21,183318.0
2018-08-22,171960.0
2018-08-23,178410.0
2018-08-24,157482.0
2018-08-27,157898.0
2018-08-28,167608.0
2018-08-29,148442.0
2018-08-30,158654.0
2018-08-31,146830.0
2018-09-03,151928.0
2018-09-04,146952.0
2018-09-05,151072.0
2018-09-06,152864.0
2018-09-07,157154.0
2018-09-10,154176.0
2018-09-11,148586.0
2018-09-12,145166.0
2018-09-13,136760.0
2018-09-14,153014.0
2018-09-17,127874.0
2018-09-18,168402.0
2018-09-19,144714.0
2018-09-20,137544.0
2018-09-21,164968.0
2018-09-25,148094.0
2018-09-26,143786.0
2018-09-27,135558.0
2018-09-28,118780.0
2018-10-08,128954.0
2018-10-09,134684.0
2018-10-10,140040.0
2018-10-11,121670.0
2018-10-12,152184.0
2018-10-15,142892.0
2018-10-16,172278.0
2018-10-17,153218.0
2018-10-18,159162.0
2018-10-19,159264.0
2018-10-22,182942.0
2018-10-23,167296.0
2018-10-24,180790.0
2018-10-25,176090.0
2018-10-26,187468.0
2018-10-29,195074.0
2018-10-30,184718.0
2018-10-31,186350.0
2018-11-01,189742.0
2018-11-02,190446.0
2018-11-05,176326.0
2018-11-06,181976.0
2018-11-07,176630.0
2018-11-08,193536.0
2018-11-09,169840.0
2018-11-12,225286.0
2018-11-13,209800.0
2018-11-14,213126.0
2018-11-15,198936.0
2018-11-16,206248.0
2018-11-19,194480.0
2018-11-20,200072.0
2018-11-21,184258.0
2018-11-22,193478.0
2018-11-23,202434.0
2018-11-26,209210.0
2018-11-27,249128.0
2018-11-28,244502.0
2018-11-29,223476.0
2018-11-30,221588.0
2018-12-03,203260.0
2018-12-04,187326.0
2018-12-05,179484.0
2018-12-06,183822.0
2018-12-07,177608.0
2018-12-10,173934.0
2018-12-11,171320.0
2018-12-12,177192.0
2018-12-13,168924.0
2018-12-14,152018.0
2018-12-17,150076.0
2018-12-18,129520.0
2018-12-19,125900.0
2018-12-20,123254.0
2018-12-21,115354.0
2018-12-24,123754.0
2018-12-25,121846.0
2018-12-26,120386.0
2018-12-27,107336.0
2018-12-28,95190.0
2019-01-02,99480.0
2019-01-03,99420.0
2019-01-04,103948.0
2019-01-07,101730.0
2019-01-08,101240.0
2019-01-09,97808.0
2019-01-10,116436.0
2019-01-11,106478.0
2019-01-14,112458.0
2019-01-15,116092.0
2019-01-16,110824.0
2019-01-17,120746.0
2019-01-18,136308.0
2019-01-21,129138.0
2019-01-22,135702.0
2019-01-23,137994.0
2019-01-24,136346.0
2019-01-25,162502.0
2019-01-28,150300.0
2019-01-29,167638.0
2019-01-30,155292.0
2019-01-31,156514.0
2019-02-01,145414.0
2019-02-11,155388.0
2019-02-12,152728.0
