trading_date,PB_total_oi
2017-11-07,80972.0
2017-11-08,82548.0
2017-11-09,81478.0
2017-11-10,86204.0
2017-11-13,85642.0
2017-11-14,86068.0
2017-11-15,81696.0
2017-11-16,74800.0
2017-11-17,75556.0
2017-11-20,73016.0
2017-11-21,72170.0
2017-11-22,71766.0
2017-11-23,74056.0
2017-11-24,71936.0
2017-11-27,73128.0
2017-11-28,72986.0
2017-11-29,72690.0
2017-11-30,72122.0
2017-12-01,71864.0
2017-12-04,76394.0
2017-12-05,74646.0
2017-12-06,71500.0
2017-12-07,70768.0
2017-12-08,71278.0
2017-12-11,71754.0
2017-12-12,81266.0
2017-12-13,84078.0
2017-12-14,82792.0
2017-12-15,81386.0
2017-12-18,73868.0
2017-12-19,76442.0
2017-12-20,77520.0
2017-12-21,74050.0
2017-12-22,74646.0
2017-12-25,74854.0
2017-12-26,72822.0
2017-12-27,71392.0
2017-12-28,73928.0
2017-12-29,67174.0
2018-01-02,68028.0
2018-01-03,69878.0
2018-01-04,68758.0
2018-01-05,70178.0
2018-01-08,68968.0
2018-01-09,71212.0
2018-01-10,68724.0
2018-01-11,68256.0
2018-01-12,66006.0
2018-01-15,67086.0
2018-01-16,61630.0
2018-01-17,65484.0
2018-01-18,68962.0
2018-01-19,72738.0
2018-01-22,69696.0
2018-01-23,80174.0
2018-01-24,77970.0
2018-01-25,77826.0
2018-01-26,75348.0
2018-01-29,81310.0
2018-01-30,75384.0
2018-01-31,72064.0
2018-02-01,73490.0
2018-02-02,76652.0
2018-02-05,78416.0
2018-02-06,76294.0
2018-02-07,74832.0
2018-02-08,72206.0
2018-02-09,71630.0
2018-02-12,68082.0
2018-02-13,67240.0
2018-02-14,64524.0
2018-02-22,65182.0
2018-02-23,66936.0
2018-02-26,68062.0
2018-02-27,68972.0
2018-02-28,71986.0
2018-03-01,71282.0
2018-03-02,71546.0
2018-03-05,71330.0
2018-03-06,73672.0
2018-03-07,74814.0
2018-03-08,74148.0
2018-03-09,74310.0
