trading_date,SN_total_oi
2019-01-16,39052.0
2019-01-17,38160.0
2019-01-18,36780.0
2019-01-21,35906.0
2019-01-22,36064.0
2019-01-23,35626.0
2019-01-24,36222.0
2019-01-25,36870.0
2019-01-28,35372.0
2019-01-29,35600.0
2019-01-30,35182.0
2019-01-31,34034.0
2019-02-01,32966.0
2019-02-11,34432.0
2019-02-12,34500.0
2019-02-13,33604.0
2019-02-14,33472.0
2019-02-15,33190.0
2019-02-18,34066.0
2019-02-19,37018.0
2019-02-20,37874.0
2019-02-21,37666.0
2019-02-22,36616.0
2019-02-25,39354.0
2019-02-26,38840.0
2019-02-27,38190.0
2019-02-28,37898.0
2019-03-01,37774.0
2019-03-04,38188.0
2019-03-05,36834.0
2019-03-06,36484.0
2019-03-07,36750.0
2019-03-08,37140.0
2019-03-11,39522.0
2019-03-12,39452.0
2019-03-13,39970.0
2019-03-14,40348.0
2019-03-15,41378.0
2019-03-18,42962.0
2019-03-19,43492.0
2019-03-20,44172.0
2019-03-21,43588.0
2019-03-22,43572.0
2019-03-25,43238.0
2019-03-26,43404.0
2019-03-27,44016.0
2019-03-28,44962.0
2019-03-29,43514.0
2019-04-01,42172.0
2019-04-02,41156.0
2019-04-03,41038.0
2019-04-04,40434.0
2019-04-08,40554.0
2019-04-09,41230.0
2019-04-10,41010.0
2019-04-11,41978.0
2019-04-12,42514.0
2019-04-15,42110.0
2019-04-16,41328.0
2019-04-17,41420.0
2019-04-18,41408.0
2019-04-19,40672.0
2019-04-22,41392.0
2019-04-23,40726.0
2019-04-24,41374.0
2019-04-25,42514.0
2019-04-26,43292.0
2019-04-29,42272.0
2019-04-30,41232.0
2019-05-06,41194.0
2019-05-07,41618.0
2019-05-08,41624.0
2019-05-09,42838.0
2019-05-10,44006.0
2019-05-13,43486.0
2019-05-14,43874.0
2019-05-15,43690.0
2019-05-16,36048.0
2019-05-17,37584.0
2019-05-20,37958.0
2019-05-21,38538.0
2019-05-22,40070.0
2019-05-23,40192.0
2019-05-24,41742.0
2019-05-27,40430.0
2019-05-28,39902.0
2019-05-29,39430.0
2019-05-30,43282.0
2019-05-31,43946.0
2019-06-03,43378.0
2019-06-04,42838.0
2019-06-05,43482.0
2019-06-06,43264.0
2019-06-10,43742.0
2019-06-11,43010.0
2019-06-12,42210.0
2019-06-13,42194.0
2019-06-14,42140.0
2019-06-17,41904.0
2019-06-18,42414.0
2019-06-19,42884.0
2019-06-20,42664.0
2019-06-21,42640.0
2019-06-24,43818.0
2019-06-25,43768.0
2019-06-26,44524.0
2019-06-27,45014.0
2019-06-28,45468.0
2019-07-01,47722.0
2019-07-02,52042.0
2019-07-03,48094.0
2019-07-04,47810.0
2019-07-05,45580.0
2019-07-08,41696.0
2019-07-09,41934.0
2019-07-10,40628.0
2019-07-11,40616.0
2019-07-12,39588.0
2019-07-15,40430.0
2019-07-16,38822.0
2019-07-17,38678.0
2019-07-18,37878.0
2019-07-19,37496.0
2019-07-22,37882.0
2019-07-23,37966.0
2019-07-24,40006.0
2019-07-25,39352.0
2019-07-26,38690.0
2019-07-29,38178.0
2019-07-30,38968.0
2019-07-31,40462.0
2019-08-01,40068.0
2019-08-02,39250.0
2019-08-05,39506.0
2019-08-06,38252.0
2019-08-07,37902.0
2019-08-08,36532.0
2019-08-09,35894.0
2019-08-12,38072.0
2019-08-13,38156.0
2019-08-14,37370.0
2019-08-15,37592.0
2019-08-16,38754.0
2019-08-19,44724.0
2019-08-20,45036.0
2019-08-21,43584.0
2019-08-22,44358.0
2019-08-23,47788.0
2019-08-26,48282.0
2019-08-27,48974.0
2019-08-28,47822.0
2019-08-29,46902.0
2019-08-30,46224.0
2019-09-02,47530.0
2019-09-03,44086.0
2019-09-04,47318.0
2019-09-05,50234.0
2019-09-06,48344.0
2019-09-09,46220.0
2019-09-10,45652.0
2019-09-11,45054.0
2019-09-12,44804.0
2019-09-16,42074.0
2019-09-17,38274.0
2019-09-18,37526.0
2019-09-19,38404.0
2019-09-20,39280.0
2019-09-23,39870.0
2019-09-24,40044.0
2019-09-25,39956.0
2019-09-26,39374.0
2019-09-27,38258.0
2019-09-30,38962.0
2019-10-08,39142.0
2019-10-09,40758.0
2019-10-10,40766.0
2019-10-11,40460.0
2019-10-14,41952.0
2019-10-15,41860.0
2019-10-16,43716.0
2019-10-17,45424.0
2019-10-18,45264.0
2019-10-21,42686.0
2019-10-22,42780.0
2019-10-23,42636.0
2019-10-24,43156.0
2019-10-25,42968.0
2019-10-28,43866.0
2019-10-29,43442.0
2019-10-30,43388.0
2019-10-31,42642.0
2019-11-01,44186.0
2019-11-04,45460.0
2019-11-05,44998.0
2019-11-06,45820.0
2019-11-07,45254.0
2019-11-08,44392.0
2019-11-11,43666.0
2019-11-12,43954.0
2019-11-13,48084.0
2019-11-14,49088.0
2019-11-15,49548.0
2019-11-18,49870.0
2019-11-19,50022.0
2019-11-20,50230.0
2019-11-21,48956.0
2019-11-22,50176.0
2019-11-25,49342.0
2019-11-26,51100.0
2019-11-27,51574.0
2019-11-28,51616.0
2019-11-29,51280.0
2019-12-02,51410.0
2019-12-03,50170.0
2019-12-04,50732.0
2019-12-05,49844.0
2019-12-06,49830.0
2019-12-09,50528.0
2019-12-10,51790.0
2019-12-11,51288.0
2019-12-12,52408.0
2019-12-13,52838.0
2019-12-16,52468.0
2019-12-17,51316.0
2019-12-18,52366.0
2019-12-19,52566.0
2019-12-20,53252.0
2019-12-23,52770.0
2019-12-24,52998.0
2019-12-25,53450.0
2019-12-26,59020.0
2019-12-27,68002.0
2019-12-30,82058.0
2019-12-31,90016.0
2020-01-02,47170.0
2020-01-03,49040.0
2020-01-06,50897.0
2020-01-07,53910.0
2020-01-08,54262.0
2020-01-09,54372.0
2020-01-10,53639.0
2020-01-13,53640.0
2020-01-14,53769.0
2020-01-15,54117.0
2020-01-16,49386.0
2020-01-17,50612.0
2020-01-20,49991.0
2020-01-21,49130.0
2020-01-22,44989.0
2020-01-23,36475.0
2020-02-03,37547.0
2020-02-04,40815.0
2020-02-05,43484.0
2020-02-06,48618.0
2020-02-07,51226.0
2020-02-10,52849.0
2020-02-11,54071.0
2020-02-12,54744.0
2020-02-13,55711.0
2020-02-14,56508.0
2020-02-17,57531.0
2020-02-18,59034.0
2020-02-19,59301.0
2020-02-20,59289.0
2020-02-21,59856.0
2020-02-24,59447.0
2020-02-25,56243.0
2020-02-26,61198.0
2020-02-27,64728.0
2020-02-28,67782.0
2020-03-02,70016.0
2020-03-03,71765.0
2020-03-04,74473.0
2020-03-05,73750.0
2020-03-06,73559.0
2020-03-09,71176.0
2020-03-10,70119.0
2020-03-11,71886.0
2020-03-12,73899.0
2020-03-13,75780.0
2020-03-16,78603.0
2020-03-17,77901.0
2020-03-18,79698.0
2020-03-19,76934.0
2020-03-20,74609.0
2020-03-23,74908.0
2020-03-24,69333.0
2020-03-25,66885.0
2020-03-26,75507.0
2020-03-27,76917.0
2020-03-30,76787.0
2020-03-31,77683.0
2020-04-01,75201.0
2020-04-02,72224.0
2020-04-03,70683.0
2020-04-07,70751.0
2020-04-08,74118.0
2020-04-09,75352.0
2020-04-10,76140.0
2020-04-13,75436.0
2020-04-14,74654.0
2020-04-15,73865.0
2020-04-16,74018.0
2020-04-17,74449.0
2020-04-20,73052.0
2020-04-21,71337.0
2020-04-22,70110.0
2020-04-23,71348.0
2020-04-24,69370.0
2020-04-27,65943.0
2020-04-28,62536.0
2020-04-29,59412.0
2020-04-30,56709.0
2020-05-06,59784.0
2020-05-07,63090.0
2020-05-08,65640.0
2020-05-11,66236.0
2020-05-12,65281.0
2020-05-13,65676.0
2020-05-14,65569.0
2020-05-15,65440.0
2020-05-18,63397.0
2020-05-19,61668.0
2020-05-20,63264.0
2020-05-21,60562.0
2020-05-22,55076.0
2020-05-25,49953.0
2020-05-26,43409.0
2020-05-27,43809.0
2020-05-28,45262.0
2020-05-29,45662.0
2020-06-01,45684.0
2020-06-02,47057.0
2020-06-03,47759.0
2020-06-04,45797.0
2020-06-05,44835.0
2020-06-08,44621.0
2020-06-09,45519.0
2020-06-10,44640.0
2020-06-11,43147.0
2020-06-12,41683.0
2020-06-15,41282.0
2020-06-16,40577.0
2020-06-17,40615.0
2020-06-18,40313.0
2020-06-19,37820.0
2020-06-22,36138.0
2020-06-23,32781.0
2020-06-24,30252.0
2020-06-29,29586.0
2020-06-30,32316.0
2020-07-01,36330.0
2020-07-02,36104.0
2020-07-03,38813.0
2020-07-06,41629.0
2020-07-07,40161.0
2020-07-08,39151.0
2020-07-09,37997.0
2020-07-10,36939.0
2020-07-13,37765.0
2020-07-14,37157.0
2020-07-15,37044.0
2020-07-16,35854.0
2020-07-17,34866.0
2020-07-20,34074.0
2020-07-21,34759.0
2020-07-22,36806.0
2020-07-23,33966.0
2020-07-24,28313.0
2020-07-27,35825.0
2020-07-28,36762.0
2020-07-29,40495.0
2020-07-30,42175.0
2020-07-31,42346.0
2020-08-03,43183.0
2020-08-04,43262.0
2020-08-05,43512.0
2020-08-06,42915.0
2020-08-07,42847.0
2020-08-10,42581.0
2020-08-11,43865.0
2020-08-12,44056.0
2020-08-13,43868.0
2020-08-14,45140.0
2020-08-17,44861.0
2020-08-18,45100.0
2020-08-19,45226.0
2020-08-20,44994.0
2020-08-21,42381.0
2020-08-24,42410.0
2020-08-25,39296.0
2020-08-26,41590.0
2020-08-27,39804.0
2020-08-28,40141.0
2020-08-31,40201.0
2020-09-01,42078.0
2020-09-02,43715.0
2020-09-03,44146.0
2020-09-04,42800.0
2020-09-07,43076.0
2020-09-08,43914.0
2020-09-09,42619.0
2020-09-10,42804.0
2020-09-11,44515.0
2020-09-14,42570.0
2020-09-15,43631.0
2020-09-16,42229.0
2020-09-17,43361.0
2020-09-18,44266.0
2020-09-21,42561.0
2020-09-22,40947.0
2020-09-23,41245.0
2020-09-24,40550.0
2020-09-25,39829.0
2020-09-28,43386.0
2020-09-29,42122.0
2020-09-30,40554.0
2020-10-09,42443.0
2020-10-12,46953.0
2020-10-13,47975.0
2020-10-14,47967.0
2020-10-15,47758.0
2020-10-16,47135.0
2020-10-19,47644.0
2020-10-20,46872.0
2020-10-21,47410.0
2020-10-22,44368.0
2020-10-23,38782.0
2020-10-26,36913.0
2020-10-27,37759.0
2020-10-28,38795.0
2020-10-29,38124.0
2020-10-30,37707.0
2020-11-02,37522.0
2020-11-03,38175.0
2020-11-04,37808.0
2020-11-05,38698.0
2020-11-06,39176.0
2020-11-09,39197.0
2020-11-10,39247.0
2020-11-11,39142.0
2020-11-12,38436.0
2020-11-13,39777.0
2020-11-16,43802.0
2020-11-17,44686.0
2020-11-18,50490.0
2020-11-19,44367.0
2020-11-20,41661.0
2020-11-23,41900.0
2020-11-24,37776.0
2020-11-25,32449.0
2020-11-26,36243.0
2020-11-27,41500.0
2020-11-30,45633.0
2020-12-01,44332.0
2020-12-02,45290.0
2020-12-03,45314.0
2020-12-04,46142.0
2020-12-07,47271.0
2020-12-08,49266.0
2020-12-09,49660.0
2020-12-10,52959.0
2020-12-11,52693.0
2020-12-14,52216.0
2020-12-15,51820.0
2020-12-16,52551.0
2020-12-17,54541.0
2020-12-18,54280.0
2020-12-21,50131.0
2020-12-22,46734.0
2020-12-23,44730.0
2020-12-24,43853.0
2020-12-25,43084.0
2020-12-28,43750.0
2020-12-29,49263.0
2020-12-30,51544.0
2020-12-31,52508.0
2021-01-04,55283.0
2021-01-05,63811.0
2021-01-06,64547.0
2021-01-07,66260.0
2021-01-08,63281.0
2021-01-11,58472.0
2021-01-12,54872.0
2021-01-13,56507.0
2021-01-14,55754.0
2021-01-15,56190.0
2021-01-18,54074.0
2021-01-19,56597.0
2021-01-20,56345.0
2021-01-21,64499.0
2021-01-22,67494.0
2021-01-25,73685.0
2021-01-26,76212.0
2021-01-27,76080.0
2021-01-28,79283.0
2021-01-29,80686.0
2021-02-01,73548.0
2021-02-02,73256.0
2021-02-03,68762.0
2021-02-04,68884.0
2021-02-05,70324.0
2021-02-08,68238.0
2021-02-09,65126.0
2021-02-10,60690.0
2021-02-18,65036.0
2021-02-19,76432.0
2021-02-22,75887.0
2021-02-23,71761.0
2021-02-24,70996.0
2021-02-25,72606.0
2021-02-26,64525.0
2021-03-01,56911.0
2021-03-02,59765.0
2021-03-03,58379.0
2021-03-04,55977.0
2021-03-05,54115.0
2021-03-08,57251.0
2021-03-09,56003.0
2021-03-10,55561.0
2021-03-11,57929.0
2021-03-12,58901.0
2021-03-15,56865.0
2021-03-16,54174.0
2021-03-17,53524.0
2021-03-18,52990.0
2021-03-19,51487.0
2021-03-22,50873.0
2021-03-23,51923.0
2021-03-24,52979.0
2021-03-25,56590.0
2021-03-26,51241.0
2021-03-29,52886.0
2021-03-30,51420.0
2021-03-31,54441.0
2021-04-01,56313.0
2021-04-02,61205.0
2021-04-06,60549.0
2021-04-07,59812.0
2021-04-08,58103.0
2021-04-09,56223.0
2021-04-12,55472.0
2021-04-13,55503.0
2021-04-14,56970.0
2021-04-15,57365.0
2021-04-16,56724.0
2021-04-19,57031.0
2021-04-20,57144.0
2021-04-21,55333.0
2021-04-22,53501.0
2021-04-23,52352.0
2021-04-26,50475.0
2021-04-27,51081.0
2021-04-28,48809.0
2021-04-29,51751.0
2021-04-30,51724.0
2021-05-06,53297.0
2021-05-07,54437.0
2021-05-10,53840.0
2021-05-11,51650.0
2021-05-12,51153.0
2021-05-13,47971.0
2021-05-14,47051.0
2021-05-17,50248.0
2021-05-18,49236.0
2021-05-19,50821.0
2021-05-20,46702.0
2021-05-21,49398.0
2021-05-24,49454.0
2021-05-25,51880.0
2021-05-26,54404.0
2021-05-27,60329.0
2021-05-28,69904.0
2021-05-31,69005.0
2021-06-01,62326.0
2021-06-02,62361.0
2021-06-03,63676.0
2021-06-04,61054.0
2021-06-07,59779.0
2021-06-08,60629.0
2021-06-09,65275.0
2021-06-10,62939.0
2021-06-11,68620.0
2021-06-15,58665.0
2021-06-16,59411.0
2021-06-17,59111.0
2021-06-18,60228.0
2021-06-21,56861.0
2021-06-22,58389.0
2021-06-23,63490.0
2021-06-24,63535.0
2021-06-25,64149.0
2021-06-28,61751.0
2021-06-29,62897.0
2021-06-30,65752.0
2021-07-01,64746.0
2021-07-02,62128.0
2021-07-05,69650.0
2021-07-06,74428.0
2021-07-07,69245.0
2021-07-08,68525.0
2021-07-09,72742.0
2021-07-12,68703.0
2021-07-13,73409.0
2021-07-14,69661.0
2021-07-15,72062.0
2021-07-16,72644.0
2021-07-19,73262.0
2021-07-20,65190.0
2021-07-21,61412.0
2021-07-22,61225.0
2021-07-23,67097.0
2021-07-26,61575.0
2021-07-27,58855.0
2021-07-28,56350.0
2021-07-29,56708.0
2021-07-30,54659.0
2021-08-02,54301.0
2021-08-03,50864.0
2021-08-04,49469.0
2021-08-05,48057.0
2021-08-06,47360.0
2021-08-09,46955.0
2021-08-10,54727.0
2021-08-11,54796.0
2021-08-12,56415.0
2021-08-13,49957.0
2021-08-16,48290.0
2021-08-17,51705.0
2021-08-18,49383.0
