trading_date,CU_total_oi
2016-09-01,513422.0
2016-09-02,513988.0
2016-09-05,517694.0
2016-09-06,516114.0
2016-09-07,510102.0
2016-09-08,505006.0
2016-09-09,495782.0
2016-09-12,523876.0
2016-09-13,486196.0
2016-09-14,466872.0
2016-09-19,450134.0
2016-09-20,439356.0
2016-09-21,440268.0
2016-09-22,458610.0
2016-09-23,461368.0
2016-09-26,456438.0
2016-09-27,462712.0
2016-09-28,449096.0
2016-09-29,444148.0
2016-09-30,439784.0
2016-10-10,433864.0
2016-10-11,468044.0
2016-10-12,464966.0
2016-10-13,466170.0
2016-10-14,449142.0
2016-10-17,455972.0
2016-10-18,442708.0
2016-10-19,442046.0
2016-10-20,442270.0
2016-10-21,443978.0
2016-10-24,451524.0
2016-10-25,475622.0
2016-10-26,455338.0
2016-10-27,452920.0
2016-10-28,460326.0
2016-10-31,461182.0
2016-11-01,482346.0
2016-11-02,478118.0
2016-11-03,496132.0
2016-11-04,504194.0
2016-11-07,548218.0
2016-11-08,556482.0
2016-11-09,560162.0
2016-11-10,552708.0
2016-11-11,552572.0
2016-11-14,537450.0
2016-11-15,530572.0
2016-11-16,531838.0
2016-11-17,513626.0
2016-11-18,517266.0
2016-11-21,544634.0
2016-11-22,555764.0
2016-11-23,555178.0
2016-11-24,555764.0
2016-11-25,550096.0
2016-11-28,596476.0
2016-11-29,547904.0
2016-11-30,536542.0
2016-12-01,537352.0
2016-12-02,524434.0
2016-12-05,547682.0
2016-12-06,550710.0
2016-12-07,582720.0
2016-12-08,555444.0
2016-12-09,544174.0
2016-12-12,540390.0
2016-12-13,526256.0
2016-12-14,518134.0
2016-12-15,511470.0
2016-12-16,494546.0
2016-12-19,493534.0
2016-12-20,490316.0
2016-12-21,494108.0
2016-12-22,508592.0
2016-12-23,508656.0
2016-12-26,512600.0
2016-12-27,503292.0
2016-12-28,498512.0
2016-12-29,497916.0
2016-12-30,480826.0
2017-01-03,482612.0
2017-01-04,484042.0
2017-01-05,492824.0
2017-01-06,482652.0
2017-01-09,482970.0
2017-01-10,493666.0
2017-01-11,504168.0
2017-01-12,493754.0
2017-01-13,489208.0
2017-01-16,500390.0
2017-01-17,470532.0
2017-01-18,455398.0
2017-01-19,454514.0
2017-01-20,434922.0
2017-01-23,438680.0
2017-01-24,439608.0
2017-01-25,447972.0
2017-01-26,444618.0
2017-02-03,445440.0
2017-02-06,454924.0
2017-02-07,458328.0
2017-02-08,477636.0
2017-02-09,483040.0
2017-02-10,511222.0
2017-02-13,597682.0
2017-02-14,613308.0
2017-02-15,564448.0
2017-02-16,546370.0
2017-02-17,542464.0
2017-02-20,546626.0
2017-02-21,544616.0
2017-02-22,543932.0
2017-02-23,540832.0
2017-02-24,527974.0
2017-02-27,518148.0
2017-02-28,520720.0
2017-03-01,527792.0
2017-03-02,535318.0
2017-03-03,534614.0
2017-03-06,546892.0
2017-03-07,547820.0
2017-03-08,542600.0
2017-03-09,545756.0
2017-03-10,545504.0
2017-03-13,543342.0
2017-03-14,541456.0
2017-03-15,545990.0
2017-03-16,519770.0
2017-03-17,517094.0
2017-03-20,518982.0
2017-03-21,515298.0
2017-03-22,529182.0
2017-03-23,528820.0
2017-03-24,529468.0
2017-03-27,546726.0
2017-03-28,534180.0
2017-03-29,533480.0
2017-03-30,527366.0
2017-03-31,527518.0
2017-04-05,526598.0
2017-04-06,546178.0
2017-04-07,561994.0
2017-04-10,559466.0
2017-04-11,580082.0
2017-04-12,594020.0
2017-04-13,585208.0
2017-04-14,593530.0
2017-04-17,581004.0
2017-04-18,597638.0
2017-04-19,600810.0
2017-04-20,604058.0
2017-04-21,596336.0
2017-04-24,587702.0
2017-04-25,581056.0
2017-04-26,573782.0
2017-04-27,565644.0
2017-04-28,568234.0
2017-05-02,561120.0
2017-05-03,560838.0
2017-05-04,568508.0
2017-05-05,595596.0
2017-05-08,607730.0
2017-05-09,601916.0
2017-05-10,597612.0
2017-05-11,594338.0
2017-05-12,608270.0
2017-05-15,602660.0
2017-05-16,595754.0
2017-05-17,583120.0
2017-05-18,599758.0
2017-05-19,584052.0
2017-05-22,569080.0
2017-05-23,568678.0
2017-05-24,581566.0
2017-05-25,581496.0
2017-05-26,578398.0
2017-05-31,580554.0
2017-06-01,572520.0
2017-06-02,582804.0
2017-06-05,580036.0
2017-06-06,590546.0
2017-06-07,584600.0
2017-06-08,570120.0
2017-06-09,571338.0
