trading_date,A_total_oi
2016-03-15,247774.0
2016-03-16,267534.0
2016-03-17,256494.0
2016-03-18,233690.0
2016-03-21,239048.0
2016-03-22,244188.0
2016-03-23,238924.0
2016-03-24,240064.0
2016-03-25,241136.0
2016-03-28,233970.0
2016-03-29,241922.0
2016-03-30,251208.0
2016-03-31,236148.0
2016-04-01,277454.0
2016-04-05,299350.0
2016-04-06,340386.0
2016-04-07,351334.0
2016-04-08,353152.0
2016-04-11,343396.0
2016-04-12,336634.0
2016-04-13,321176.0
2016-04-14,329800.0
2016-04-15,331568.0
2016-04-18,347520.0
2016-04-19,345426.0
2016-04-20,349508.0
2016-04-21,336780.0
2016-04-22,336576.0
2016-04-25,375840.0
2016-04-26,349466.0
2016-04-27,350476.0
2016-04-28,328000.0
2016-04-29,334164.0
2016-05-03,353560.0
2016-05-04,351820.0
2016-05-05,367080.0
2016-05-06,359882.0
2016-05-09,373800.0
2016-05-10,371608.0
2016-05-11,425464.0
2016-05-12,409056.0
2016-05-13,372418.0
2016-05-16,369910.0
2016-05-17,371186.0
2016-05-18,342476.0
2016-05-19,353670.0
2016-05-20,353198.0
2016-05-23,333806.0
2016-05-24,315270.0
2016-05-25,306166.0
2016-05-26,309776.0
2016-05-27,311026.0
2016-05-30,316800.0
2016-05-31,340094.0
2016-06-01,327894.0
2016-06-02,347298.0
2016-06-03,350720.0
2016-06-06,348248.0
2016-06-07,349866.0
2016-06-08,344038.0
2016-06-13,358528.0
2016-06-14,358846.0
2016-06-15,355848.0
2016-06-16,351120.0
2016-06-17,348548.0
2016-06-20,341300.0
2016-06-21,337700.0
2016-06-22,324482.0
2016-06-23,319854.0
2016-06-24,303420.0
2016-06-27,296468.0
2016-06-28,305700.0
2016-06-29,299500.0
2016-06-30,301024.0
2016-07-01,318364.0
2016-07-04,342168.0
2016-07-05,312054.0
2016-07-06,294568.0
2016-07-07,278634.0
2016-07-08,261218.0
2016-07-11,264442.0
2016-07-12,284138.0
2016-07-13,277398.0
2016-07-14,261996.0
2016-07-15,250236.0
2016-07-18,249042.0
2016-07-19,241796.0
2016-07-20,240928.0
2016-07-21,254792.0
2016-07-22,274374.0
2016-07-25,269046.0
2016-07-26,264752.0
2016-07-27,261258.0
2016-07-28,269132.0
2016-07-29,274988.0
2016-08-01,249556.0
2016-08-02,251832.0
2016-08-03,252646.0
2016-08-04,252882.0
2016-08-05,242084.0
2016-08-08,231862.0
2016-08-09,220360.0
2016-08-10,206856.0
2016-08-11,192802.0
2016-08-12,188630.0
2016-08-15,188444.0
2016-08-16,185964.0
2016-08-17,212002.0
2016-08-18,226326.0
2016-08-19,213998.0
2016-08-22,226574.0
2016-08-23,226980.0
2016-08-24,206258.0
2016-08-25,203794.0
2016-08-26,196842.0
2016-08-29,200566.0
2016-08-30,206464.0
2016-08-31,201000.0
2016-09-01,200476.0
2016-09-02,206540.0
2016-09-05,236176.0
2016-09-06,228760.0
2016-09-07,226556.0
2016-09-08,233174.0
2016-09-09,231616.0
2016-09-12,219602.0
2016-09-13,216176.0
2016-09-14,208282.0
2016-09-19,200326.0
2016-09-20,194162.0
2016-09-21,181654.0
2016-09-22,184874.0
2016-09-23,181466.0
2016-09-26,186650.0
2016-09-27,185162.0
2016-09-28,180826.0
2016-09-29,171064.0
2016-09-30,180656.0
2016-10-10,185316.0
2016-10-11,209240.0
2016-10-12,217750.0
2016-10-13,248008.0
2016-10-14,237036.0
2016-10-17,250812.0
2016-10-18,259950.0
2016-10-19,267684.0
2016-10-20,249306.0
2016-10-21,246188.0
2016-10-24,256828.0
2016-10-25,248910.0
2016-10-26,263656.0
2016-10-27,241440.0
2016-10-28,238410.0
2016-10-31,232408.0
2016-11-01,249230.0
2016-11-02,238862.0
2016-11-03,235056.0
2016-11-04,232200.0
2016-11-07,244980.0
2016-11-08,248590.0
2016-11-09,240656.0
2016-11-10,250076.0
2016-11-11,254734.0
2016-11-14,200032.0
2016-11-15,182090.0
2016-11-16,198254.0
2016-11-17,198418.0
2016-11-18,202144.0
2016-11-21,196630.0
2016-11-22,199878.0
2016-11-23,197696.0
2016-11-24,198738.0
2016-11-25,192760.0
2016-11-28,196398.0
2016-11-29,220064.0
2016-11-30,211766.0
2016-12-01,232084.0
2016-12-02,309348.0
2016-12-05,307022.0
2016-12-06,299094.0
2016-12-07,327380.0
2016-12-08,299208.0
2016-12-09,291894.0
2016-12-12,289006.0
2016-12-13,284350.0
2016-12-14,281440.0
2016-12-15,286038.0
2016-12-16,342902.0
2016-12-19,340004.0
2016-12-20,303648.0
2016-12-21,352572.0
2016-12-22,368060.0
2016-12-23,351934.0
2016-12-26,289164.0
2016-12-27,273524.0
2016-12-28,267416.0
2016-12-29,305922.0
2016-12-30,292110.0
2017-01-03,277056.0
2017-01-04,288338.0
2017-01-05,285254.0
2017-01-06,289532.0
2017-01-09,272116.0
2017-01-10,264596.0
2017-01-11,259824.0
2017-01-12,270202.0
2017-01-13,251786.0
2017-01-16,231768.0
2017-01-17,224450.0
2017-01-18,231500.0
2017-01-19,236498.0
2017-01-20,221514.0
2017-01-23,222426.0
2017-01-24,213624.0
2017-01-25,196586.0
2017-01-26,195130.0
2017-02-03,240194.0
2017-02-06,266580.0
2017-02-07,263830.0
2017-02-08,269684.0
2017-02-09,261284.0
2017-02-10,259548.0
2017-02-13,261572.0
2017-02-14,279300.0
2017-02-15,252930.0
2017-02-16,243684.0
2017-02-17,234958.0
2017-02-20,234838.0
2017-02-21,236698.0
2017-02-22,233440.0
2017-02-23,236474.0
2017-02-24,241260.0
2017-02-27,260244.0
2017-02-28,253574.0
2017-03-01,270104.0
2017-03-02,300332.0
2017-03-03,321004.0
2017-03-06,344032.0
2017-03-07,382680.0
2017-03-08,359712.0
2017-03-09,354588.0
2017-03-10,326806.0
2017-03-13,314522.0
2017-03-14,336278.0
2017-03-15,357400.0
2017-03-16,389470.0
2017-03-17,391518.0
2017-03-20,395974.0
2017-03-21,410460.0
2017-03-22,386670.0
2017-03-23,386192.0
2017-03-24,378420.0
2017-03-27,359232.0
2017-03-28,336534.0
2017-03-29,341032.0
2017-03-30,344926.0
2017-03-31,343298.0
2017-04-05,342716.0
2017-04-06,350908.0
2017-04-07,338452.0
2017-04-10,336834.0
2017-04-11,331880.0
2017-04-12,320776.0
2017-04-13,316754.0
2017-04-14,307258.0
2017-04-17,307128.0
2017-04-18,328372.0
2017-04-19,320104.0
2017-04-20,301412.0
2017-04-21,302270.0
2017-04-24,311912.0
2017-04-25,308674.0
2017-04-26,306108.0
2017-04-27,293424.0
2017-04-28,285198.0
2017-05-02,279784.0
2017-05-03,268430.0
2017-05-04,259714.0
2017-05-05,257872.0
2017-05-08,263982.0
2017-05-09,257036.0
2017-05-10,249656.0
2017-05-11,252124.0
2017-05-12,236838.0
2017-05-15,240124.0
2017-05-16,250922.0
2017-05-17,239406.0
2017-05-18,249132.0
2017-05-19,256734.0
2017-05-22,246806.0
2017-05-23,250978.0
2017-05-24,276394.0
2017-05-25,266616.0
2017-05-26,248060.0
2017-05-31,225318.0
2017-06-01,229726.0
2017-06-02,211412.0
2017-06-05,221348.0
2017-06-06,224658.0
2017-06-07,228718.0
2017-06-08,230580.0
2017-06-09,287132.0
2017-06-12,290982.0
2017-06-13,284672.0
2017-06-14,293280.0
2017-06-15,295710.0
2017-06-16,268040.0
2017-06-19,252824.0
2017-06-20,253526.0
2017-06-21,237630.0
2017-06-22,233966.0
2017-06-23,235510.0
2017-06-26,240778.0
2017-06-27,245398.0
2017-06-28,258640.0
2017-06-29,266190.0
2017-06-30,267190.0
2017-07-03,278128.0
2017-07-04,276222.0
2017-07-05,267512.0
2017-07-06,262940.0
2017-07-07,262548.0
2017-07-10,239214.0
2017-07-11,244758.0
2017-07-12,256856.0
2017-07-13,258190.0
2017-07-14,242240.0
2017-07-17,237600.0
2017-07-18,236780.0
2017-07-19,246136.0
2017-07-20,260942.0
2017-07-21,267954.0
2017-07-24,263910.0
2017-07-25,267694.0
2017-07-26,273790.0
2017-07-27,273472.0
2017-07-28,268996.0
2017-07-31,254832.0
2017-08-01,264086.0
2017-08-02,263626.0
2017-08-03,267358.0
2017-08-04,259668.0
2017-08-07,249786.0
2017-08-08,250982.0
2017-08-09,246388.0
2017-08-10,249694.0
2017-08-11,236672.0
2017-08-14,219272.0
2017-08-15,221664.0
2017-08-16,228422.0
2017-08-17,237996.0
2017-08-18,233890.0
2017-08-21,239192.0
2017-08-22,242184.0
2017-08-23,250304.0
2017-08-24,240014.0
2017-08-25,227534.0
2017-08-28,231116.0
2017-08-29,226764.0
2017-08-30,233478.0
2017-08-31,238584.0
2017-09-01,228902.0
2017-09-04,235104.0
2017-09-05,242018.0
2017-09-06,263358.0
2017-09-07,304936.0
2017-09-08,284308.0
2017-09-11,292016.0
2017-09-12,291014.0
2017-09-13,288310.0
2017-09-14,288350.0
2017-09-15,294798.0
2017-09-18,296404.0
2017-09-19,291178.0
2017-09-20,302446.0
2017-09-21,299754.0
2017-09-22,297742.0
2017-09-25,292388.0
2017-09-26,289476.0
2017-09-27,282816.0
2017-09-28,255462.0
2017-09-29,243836.0
2017-10-09,257246.0
2017-10-10,295746.0
