trading_date,I_total_oi
2015-05-15,1318846.0
2015-05-18,1351598.0
2015-05-19,1343612.0
2015-05-20,1265518.0
2015-05-21,1312836.0
2015-05-22,1283432.0
2015-05-25,1349958.0
2015-05-26,1366886.0
2015-05-27,1369160.0
2015-05-28,1335080.0
2015-05-29,1235344.0
2015-06-01,1334802.0
2015-06-02,1289346.0
2015-06-03,1232502.0
2015-06-04,1223838.0
2015-06-05,1184660.0
2015-06-08,1176232.0
2015-06-09,1208902.0
2015-06-10,1503668.0
2015-06-11,1801290.0
2015-06-12,1769808.0
2015-06-15,1785990.0
2015-06-16,1712876.0
2015-06-17,1747076.0
2015-06-18,1690854.0
2015-06-19,1625312.0
2015-06-23,1645704.0
2015-06-24,1896554.0
2015-06-25,1910490.0
2015-06-26,1879310.0
2015-06-29,1866922.0
2015-06-30,1798596.0
2015-07-01,1830754.0
2015-07-02,1850960.0
2015-07-03,1865902.0
2015-07-06,1931000.0
2015-07-07,1806472.0
2015-07-08,1163244.0
2015-07-09,1131646.0
2015-07-10,1239332.0
2015-07-13,1294318.0
2015-07-14,1215002.0
2015-07-15,1244882.0
2015-07-16,1214766.0
2015-07-17,1186392.0
2015-07-20,1307296.0
2015-07-21,1305476.0
2015-07-22,1334808.0
2015-07-23,1315926.0
2015-07-24,1409084.0
2015-07-27,1439154.0
2015-07-28,1435740.0
2015-07-29,1564192.0
2015-07-30,1428242.0
2015-07-31,1477984.0
2015-08-03,1569914.0
2015-08-04,1508420.0
2015-08-05,1702448.0
2015-08-06,1700290.0
2015-08-07,1695844.0
2015-08-10,1674404.0
2015-08-11,1824354.0
2015-08-12,1808678.0
2015-08-13,1924928.0
2015-08-14,1896764.0
2015-08-17,1922678.0
2015-08-18,1876172.0
2015-08-19,1884956.0
2015-08-20,1871296.0
2015-08-21,1846652.0
2015-08-24,1759298.0
2015-08-25,1755808.0
2015-08-26,1765212.0
2015-08-27,1693178.0
2015-08-28,1734156.0
2015-08-31,1783710.0
2015-09-01,1898168.0
2015-09-02,1828596.0
2015-09-07,1817068.0
2015-09-08,1864498.0
2015-09-09,1973118.0
2015-09-10,1997822.0
2015-09-11,1886948.0
2015-09-14,1937412.0
2015-09-15,1976782.0
2015-09-16,1966468.0
2015-09-17,1983326.0
2015-09-18,1968456.0
2015-09-21,1994836.0
